Area_of_Cytoplasm,Label,Mean_Of_mean_nn_distances_simulated_10,Mean_Of_mean_nn_distances_simulated_100,Mean_Of_mean_nn_distances_simulated_1000,Mean_nn_distances_measured,Mean_nn_distances_simulated,Mean_protein_intensity_around_pbodies,Mean_protein_intensity_cytoplasm,Number_of_pbodies,SiteX,SiteY,Well,p-value_measured_lower_1000_sim
52160.0,27,32.94599337233367,32.34375477357341,33.341376710746815,38.27940044897796,28.33885304169805,58.514881865602945,46.71610429447853,17.0,0.0,0.0,D07,0.177
55056.0,28,36.6345370429261,39.01634430137798,39.20051779776761,49.33412714172205,47.94955899660114,51.01375176304654,51.53946890438826,14.0,0.0,0.0,D07,0.098
94739.0,14,35.96044814459902,35.61443345478673,35.6189599395708,42.70589224335303,37.72907191090544,54.185152057245084,42.76369816020857,22.0,0.0,0.0,D07,0.072
79842.0,35,55.25936910856368,57.94987226869935,55.94807202383531,64.99540676845314,75.14100233454266,47.18269653052262,45.72018486510859,10.0,0.0,0.0,D07,0.212
51296.0,9,40.677085499802274,43.71097109809782,42.160906126158196,33.166871435050105,46.482785979015596,48.56749311294766,44.43990642362803,11.0,0.0,0.0,D07,0.864
46761.0,12,40.073138313033986,40.46181169343662,39.53915004072219,47.592488634053375,41.08773115254489,44.715030408340574,45.18446996428648,11.0,0.0,0.0,D07,0.152
37212.0,31,46.66470816405922,43.9855884401319,41.87832376895673,49.598478339307775,46.10725041817736,66.41468005018821,52.68034504998388,9.0,0.0,0.0,D07,0.216
43310.0,32,67.06554017999892,63.25059233266801,63.568294948143844,66.11532351860733,86.1377222312099,63.859911894273125,52.91514661740938,5.0,0.0,0.0,D07,0.427
46165.0,15,56.5371080472941,48.866907389353585,49.526686154916824,45.67040041221551,35.66246127521549,62.43082021541011,46.681663597963826,8.0,0.0,0.0,D07,0.62
101933.0,13,41.17656618860998,42.75114894040205,42.84130761948562,49.95479936669833,41.713273720359425,52.24904423812124,43.04077187956795,17.0,0.0,0.0,D07,0.138
58684.0,36,58.89529093627134,62.84663432661006,59.864243218658316,61.14354516588818,52.51465378873608,44.71734475374733,44.50599822779633,7.0,0.0,0.0,D07,0.479
23479.0,10,57.192029079825446,49.22534590069523,48.9494835537188,46.87587004954991,68.60070943887573,63.55467869222097,60.79892670045572,5.0,0.0,0.0,D07,0.541
32743.0,33,56.86151908401564,60.48023304543183,61.371630057302404,59.762080423255796,39.52675945753841,61.13993871297242,49.284427205814985,5.0,0.0,0.0,D07,0.546
37128.0,17,24.430122364475885,24.935374311003773,25.205370080640623,29.571534214066908,24.08633546231836,62.29066575154427,48.828619909502265,19.0,0.0,0.0,D07,0.109
66492.0,8,37.86797690873484,36.90210053739707,37.21540055035714,43.59729665870748,32.90866088230253,52.41071902361369,46.45567887866209,17.0,0.0,0.0,D07,0.136
96096.0,19,33.111026245005036,34.54249136718183,34.612445432182525,42.39241157324724,28.655361586659183,53.0906781317178,47.38010947385948,24.0,0.0,0.0,D07,0.037
46335.0,20,34.94296617799489,34.669363827346984,34.80692455078779,29.00754209767147,31.684668276001357,61.56185012549301,50.58974857019532,14.0,0.0,0.0,D07,0.801
42396.0,37,38.04469007859291,35.413945420445295,34.78804159179557,34.88770999695022,34.89113566710841,54.71212121212121,50.93055948674403,13.0,0.0,0.0,D07,0.491
79150.0,29,62.90222492630327,72.0996999093606,74.53666629812433,86.47547591048908,81.36418930334871,41.396534148827726,48.487983320697495,6.0,0.0,0.0,D07,0.294
74673.0,24,36.20867572272245,37.33360282213249,37.51309894240129,42.20516251647334,38.91885329061081,57.69698692438886,52.210450899254084,18.0,0.0,0.0,D07,0.214
44421.0,22,41.025094914506255,41.479738505878096,40.83964856081089,44.51481588068407,47.49238174455027,63.320454545454545,56.11134373381959,11.0,0.0,1.0,D07,0.347
37164.0,35,41.79388678487901,40.04659096838329,39.87164120828826,41.789195694754774,25.182407160402953,52.437361419068736,55.46722634807879,10.0,0.0,1.0,D07,0.422
42371.0,28,38.54055672132638,35.9983873998709,36.34255540871364,48.323796914207,26.44143432215033,62.86604127579737,61.04019448181453,13.0,0.0,1.0,D07,0.035
43446.0,6,44.01228109592364,38.91112692363399,38.91078604796649,39.15496963704857,50.77011210598921,61.3413612565445,48.97649956267551,11.0,0.0,1.0,D07,0.487
70945.0,19,37.704539492011236,34.298282267517564,34.06060707952574,45.17651216400624,31.58906872983958,50.17744497390515,48.92503946774921,21.0,0.0,1.0,D07,0.006
41366.0,17,37.40274091654011,38.34548783082119,37.039265915024735,31.52780854630139,35.812817597985905,72.13285457809695,55.18314557849442,12.0,0.0,1.0,D07,0.79
36746.0,13,26.31366105762915,25.264326965459983,25.42911584554847,28.2413106350478,29.650904142878435,57.13131313131313,48.07500340182338,18.0,0.0,1.0,D07,0.222
33680.0,16,37.25493357117087,40.28844807983833,39.67800776156414,47.15844871496831,29.76876707365679,67.03754469606675,51.35573040380047,10.0,0.0,1.0,D07,0.195
15748.0,25,88.90963935053256,76.87665890170572,80.32014161543484,99.38558548074543,84.76230330852957,57.40625,58.226568453136906,3.0,0.0,1.0,D07,0.282
56112.0,9,38.089186493389676,36.079064094430095,36.2566539043331,42.45759540153028,32.63236978823862,55.47240051347882,44.107570573139434,15.0,0.0,1.0,D07,0.153
78179.0,12,36.55070300534511,32.95173857695255,32.56229614815511,34.456310137067405,30.552045774963794,58.36831275720164,49.112034999744154,23.0,0.0,1.0,D07,0.326
52815.0,30,27.151128897073885,27.571216238752175,27.151063150782644,26.658272087811195,24.850884161159858,55.29396511079679,51.711862160371105,24.0,0.0,1.0,D07,0.549
25718.0,21,29.752804111491702,31.767552563137965,32.131934921835075,44.84876884351268,42.62494965916094,60.456112852664575,53.27890971304145,10.0,0.0,1.0,D07,0.038
33019.0,29,38.097488059203855,38.742258536314715,38.50839380317799,35.89603937642379,40.040746028291395,71.70028275212064,66.31996729155941,9.0,0.0,1.0,D07,0.626
39799.0,36,34.76432810326815,36.18434513530867,35.93003499359936,34.94229198300342,36.270749310344335,85.47659126775382,64.71823412648558,11.0,0.0,1.0,D07,0.549
18301.0,24,26.06555020657056,26.174456347593747,26.266587356606404,26.61406631039534,28.504837955805872,58.41291585127202,67.30736025353806,12.0,0.0,1.0,D07,0.466
