Area_of_Cytoplasm,Label,Mean_Of_mean_nn_distances_simulated_10,Mean_Of_mean_nn_distances_simulated_100,Mean_Of_mean_nn_distances_simulated_1000,Mean_nn_distances_measured,Mean_nn_distances_simulated,Mean_protein_intensity_around_pbodies,Mean_protein_intensity_cytoplasm,Number_of_pbodies,SiteX,SiteY,Well,p-value_measured_lower_1000_sim
52160.0,27,28.88723485508451,33.666534787479065,33.68205152882698,38.27940044897796,33.085179855413315,58.514881865602945,46.71610429447853,17.0,0.0,0.0,F04,0.188
55056.0,28,42.27628623803021,38.45961822560142,39.32765236731271,49.33412714172205,40.248516980197174,51.01375176304654,51.53946890438826,14.0,0.0,0.0,F04,0.101
94739.0,14,38.99355519651874,35.015466658028146,35.60166500746585,42.70589224335303,34.81538239600262,54.185152057245084,42.76369816020857,22.0,0.0,0.0,F04,0.068
79842.0,35,57.7478638852546,55.970520959659545,55.74552784105338,64.99540676845314,53.68650907328284,47.18269653052262,45.72018486510859,10.0,0.0,0.0,F04,0.215
51296.0,9,40.79324036458842,42.11125997950765,41.90136993772369,33.166871435050105,33.724714029277976,48.56749311294766,44.43990642362803,11.0,0.0,0.0,F04,0.835
46761.0,12,36.793191955575516,39.01489494039854,39.7601581594484,47.592488634053375,35.648179867616356,44.715030408340574,45.18446996428648,11.0,0.0,0.0,F04,0.166
37212.0,31,43.456886467958554,41.32759432350118,42.391045639361735,49.598478339307775,30.010816155273332,66.41468005018821,52.68034504998388,9.0,0.0,0.0,F04,0.228
43310.0,32,68.6172049513289,67.17099823256062,63.612060714925555,66.11532351860733,84.48787686364344,63.859911894273125,52.91514661740938,5.0,0.0,0.0,F04,0.446
46165.0,15,54.16113053838636,48.348895049206895,50.15872896177981,45.67040041221551,65.51967618564649,62.43082021541011,46.681663597963826,8.0,0.0,0.0,F04,0.651
101933.0,13,44.21061514990713,42.37241715732886,42.51177424136408,49.95479936669833,38.34461589315266,52.24904423812124,43.04077187956795,17.0,0.0,0.0,F04,0.131
58684.0,36,54.22530689999687,59.37268360966177,59.561272393619056,61.14354516588818,71.02937622486365,44.71734475374733,44.50599822779633,7.0,0.0,0.0,F04,0.466
23479.0,10,51.20567043805795,53.09204168831756,49.46202657291924,46.87587004954991,57.63136771659104,63.55467869222097,60.79892670045572,5.0,0.0,0.0,F04,0.566
32743.0,33,64.52318471796875,60.049716020980405,60.29519312008233,59.762080423255796,103.27626077932628,61.13993871297242,49.284427205814985,5.0,0.0,0.0,F04,0.502
37128.0,17,24.60068075758214,24.832883437555925,24.911691455221614,29.571534214066908,24.220926864079768,62.29066575154427,48.828619909502265,19.0,0.0,0.0,F04,0.102
66492.0,8,37.614957505708574,38.13997145251263,37.29846320091114,43.59729665870748,43.06023569074732,52.41071902361369,46.45567887866209,17.0,0.0,0.0,F04,0.163
96096.0,19,35.09769337996584,35.838131792012234,34.42588722924891,42.39241157324724,31.58399881710996,53.0906781317178,47.38010947385948,24.0,0.0,0.0,F04,0.033
46335.0,20,31.61808925571563,33.95988296702971,34.93319927337251,29.00754209767147,39.482249199570795,61.56185012549301,50.58974857019532,14.0,0.0,0.0,F04,0.822
42396.0,37,37.23101302225197,35.382281122786594,34.79240175001268,34.88770999695022,36.24103067116726,54.71212121212121,50.93055948674403,13.0,0.0,0.0,F04,0.466
79150.0,29,65.3841097357129,76.43989335221674,73.35808462363188,86.47547591048908,51.82122041492219,41.396534148827726,48.487983320697495,6.0,0.0,0.0,F04,0.266
74673.0,24,37.20871415111226,36.79050894304988,37.4509271421694,42.20516251647334,33.17327702434777,57.69698692438886,52.210450899254084,18.0,0.0,0.0,F04,0.193
44421.0,22,41.787443518179494,40.016961465030086,40.665329826613444,44.51481588068407,36.50180228641346,63.320454545454545,56.11134373381959,11.0,0.0,1.0,F04,0.329
37164.0,35,37.76126113191819,39.44319813115811,39.27321993824681,41.789195694754774,30.3405861226254,52.437361419068736,55.46722634807879,10.0,0.0,1.0,F04,0.394
42371.0,28,33.96058600981506,35.42160486152587,35.48916738682766,48.323796914207,36.15653029601661,62.86604127579737,61.04019448181453,13.0,0.0,1.0,F04,0.024
43446.0,6,44.42144317390919,40.17434509803436,39.204094467430146,39.15496963704857,35.544065369482254,61.3413612565445,48.97649956267551,11.0,0.0,1.0,F04,0.494
70945.0,19,34.1196565531862,33.508490830130775,33.96333021242566,45.17651216400624,43.53717002574402,50.17744497390515,48.92503946774921,21.0,0.0,1.0,F04,0.008
41366.0,17,39.89610297947225,36.824868275851266,36.900070953361144,31.52780854630139,46.05850325626477,72.13285457809695,55.18314557849442,12.0,0.0,1.0,F04,0.768
36746.0,13,25.156973233405868,25.34567039156179,25.321864185501152,28.2413106350478,30.607116912759167,57.13131313131313,48.07500340182338,18.0,0.0,1.0,F04,0.226
33680.0,16,39.64955755143579,40.22210731996012,39.91353739106067,47.15844871496831,47.09485998379828,67.03754469606675,51.35573040380047,10.0,0.0,1.0,F04,0.211
15748.0,25,72.65684773163616,77.07837670754809,78.32142636244409,99.38558548074543,43.72160203043017,57.40625,58.226568453136906,3.0,0.0,1.0,F04,0.245
56112.0,9,38.389753409129604,36.506706362888025,36.76329357866029,42.45759540153028,54.2598860465662,55.47240051347882,44.107570573139434,15.0,0.0,1.0,F04,0.176
78179.0,12,31.080646248401088,32.36303654305372,33.21883640292309,34.456310137067405,36.888103191491936,58.36831275720164,49.112034999744154,23.0,0.0,1.0,F04,0.392
52815.0,30,26.564657669315885,27.275594588418162,27.26543838739539,26.658272087811195,21.69088193936354,55.29396511079679,51.711862160371105,24.0,0.0,1.0,F04,0.545
25718.0,21,30.09438650100471,31.859863987256627,32.26737415228061,44.84876884351268,31.5702967913655,60.456112852664575,53.27890971304145,10.0,0.0,1.0,F04,0.033
33019.0,29,39.586354165542225,38.72983439165572,38.02999525489449,35.89603937642379,49.70024429406945,71.70028275212064,66.31996729155941,9.0,0.0,1.0,F04,0.588
39799.0,36,33.71124764421808,36.279540344658386,36.34112423152836,34.94229198300342,40.58208595696406,85.47659126775382,64.71823412648558,11.0,0.0,1.0,F04,0.58
18301.0,24,26.20095516219461,25.884612300967216,26.189497158535833,26.61406631039534,25.300391931238977,58.41291585127202,67.30736025353806,12.0,0.0,1.0,F04,0.466
17553.0,27,59.678091386104164,57.23113661230728,59.88167463387677,56.01110491313167,91.60934615284191,57.5821325648415,65.05360906967469,4.0,0.0,1.0,F04,0.586
44988.0,32,35.49584669591778,34.12079623308285,34.25158661929562,44.2527874527817,32.65405240819309,64.47364341085272,57.00720192051214,14.0,0.0,1.0,F04,0.057
57083.0,33,34.36634503624531,37.074144552229775,36.785740879075014,44.878844824584576,41.63133876803522,45.743964421855146,44.00818106967048,15.0,0.0,1.0,F04,0.089
44668.0,8,43.687444704548305,41.41091664441762,43.00856956279555,55.56384635519329,40.732235268192845,56.859078590785906,47.36345929972239,10.0,0.0,1.0,F04,0.071
37188.0,14,27.108910064162774,27.924318658365774,27.430530571191483,32.044097181768606,21.444676990991688,56.38967786629719,46.007932666451545,16.0,0.0,1.0,F04,0.148
27748.0,26,33.64645696978644,31.36278278792258,32.03404411138104,34.942233707299486,37.405867518416386,72.93662628145387,66.71658737024221,11.0,0.0,1.0,F04,0.354
52100.0,17,58.54406810550042,64.56847877427008,64.75687738193731,81.8069627612649,68.65364255975913,51.87835926449788,43.15270633397313,6.0,0.0,2.0,F04,0.162
32904.0,25,43.68044551882714,43.58580930457887,42.5970649478665,53.4286759207235,40.88502342449365,46.86946107784431,45.991080941219444,9.0,0.0,2.0,F04,0.128
52814.0,20,61.99867077141464,59.366176213147256,59.5122739134586,81.63418940746578,61.80552668080804,62.20949263502455,52.196614534025066,7.0,0.0,2.0,F04,0.062
55472.0,21,43.56313516972914,44.506854940124484,43.43108292938893,58.540263707605575,47.407010345386475,42.709377901578456,41.28637888131559,11.0,0.0,2.0,F04,0.032
31362.0,23,108.38648542102666,92.88005442688035,92.50725130396904,154.16909991580792,128.20661631559776,53.552742616033754,55.74886805688413,3.0,0.0,2.0,F04,0.091
40783.0,15,51.39966759129046,50.018213368266814,51.31392007460078,53.988332797522716,43.80119450615505,47.58767507002801,47.14449648137705,8.0,0.0,2.0,F04,0.422
63554.0,29,38.3838024551866,38.864792148468766,38.33466321790716,53.70077716692197,37.98910497742295,46.7137669197755,46.89561632627372,15.0,0.0,2.0,F04,0.009
