Area_of_Cytoplasm,Label,Mean_Of_mean_nn_distances_simulated_10,Mean_Of_mean_nn_distances_simulated_100,Mean_Of_mean_nn_distances_simulated_1000,Mean_nn_distances_measured,Mean_nn_distances_simulated,Mean_protein_intensity_around_pbodies,Mean_protein_intensity_cytoplasm,Number_of_pbodies,SiteX,SiteY,Well,p-value_measured_lower_1000_sim
52160.0,27,31.892027766592616,33.066567250796545,33.327215164400606,38.27940044897796,27.60998341174505,58.514881865602945,46.71610429447853,17.0,0.0,0.0,D09,0.191
55056.0,28,41.539462594886075,39.3192323457974,39.56262888925437,49.33412714172205,54.990829831542875,51.01375176304654,51.53946890438826,14.0,0.0,0.0,D09,0.096
94739.0,14,34.92165819798214,35.720125306920245,35.444563412936795,42.70589224335303,38.18222051775224,54.185152057245084,42.76369816020857,22.0,0.0,0.0,D09,0.067
79842.0,35,62.87627630450017,57.99318721007782,55.814243163039414,64.99540676845314,75.33135776785176,47.18269653052262,45.72018486510859,10.0,0.0,0.0,D09,0.229
51296.0,9,41.9295575128793,40.93675696231703,41.71056340070242,33.166871435050105,58.02373248544902,48.56749311294766,44.43990642362803,11.0,0.0,0.0,D09,0.835
46761.0,12,40.46161410498988,38.654695188942476,40.0999153978499,47.592488634053375,50.946109438854755,44.715030408340574,45.18446996428648,11.0,0.0,0.0,D09,0.162
37212.0,31,45.129537196021516,41.51002009687528,42.26185373790977,49.598478339307775,57.11900038124755,66.41468005018821,52.68034504998388,9.0,0.0,0.0,D09,0.235
43310.0,32,58.10456519368133,62.471595772841944,63.8246486078996,66.11532351860733,70.37838923880766,63.859911894273125,52.91514661740938,5.0,0.0,0.0,D09,0.435
46165.0,15,46.32301391825475,51.1364083972341,49.69716442628123,45.67040041221551,66.24297243434384,62.43082021541011,46.681663597963826,8.0,0.0,0.0,D09,0.638
101933.0,13,44.94884497422139,43.569223118637744,42.24867168769699,49.95479936669833,37.94965671479116,52.24904423812124,43.04077187956795,17.0,0.0,0.0,D09,0.115
58684.0,36,61.318283497440504,59.77812269153251,59.304656348988225,61.14354516588818,67.13821256938905,44.71734475374733,44.50599822779633,7.0,0.0,0.0,D09,0.448
23479.0,10,48.39283540608881,49.085110446291964,49.185159062674195,46.87587004954991,44.089175276321384,63.55467869222097,60.79892670045572,5.0,0.0,0.0,D09,0.576
32743.0,33,62.738110496623406,62.22280143554446,61.59584982268525,59.762080423255796,59.190672113088034,61.13993871297242,49.284427205814985,5.0,0.0,0.0,D09,0.53
37128.0,17,25.00154506686921,24.832147350350905,25.069349622048637,29.571534214066908,25.12296855204027,62.29066575154427,48.828619909502265,19.0,0.0,0.0,D09,0.107
66492.0,8,35.04901929720723,37.83572666407657,37.08200187115997,43.59729665870748,29.60774072461464,52.41071902361369,46.45567887866209,17.0,0.0,0.0,D09,0.133
96096.0,19,33.936168104909754,34.639936905166934,34.77094735770486,42.39241157324724,38.897767927693565,53.0906781317178,47.38010947385948,24.0,0.0,0.0,D09,0.044
46335.0,20,34.972149711408605,34.89702265846954,34.89194862753926,29.00754209767147,37.97193538088739,61.56185012549301,50.58974857019532,14.0,0.0,0.0,D09,0.816
42396.0,37,35.70049761769629,33.446793821174744,35.0690020617957,34.88770999695022,40.76031497165723,54.71212121212121,50.93055948674403,13.0,0.0,0.0,D09,0.528
79150.0,29,80.27636954441974,71.32811014023753,73.6925717841606,86.47547591048908,95.91034750648221,41.396534148827726,48.487983320697495,6.0,0.0,0.0,D09,0.261
74673.0,24,38.95657400501768,37.44634800645324,37.59499590081083,42.20516251647334,31.90224434480839,57.69698692438886,52.210450899254084,18.0,0.0,0.0,D09,0.202
44421.0,22,39.44631253090138,41.27116715129738,40.32288490292047,44.51481588068407,51.92337916242263,63.320454545454545,56.11134373381959,11.0,0.0,1.0,D09,0.305
37164.0,35,40.20019201452575,39.979975276894045,39.02206127452011,41.789195694754774,27.15305585997383,52.437361419068736,55.46722634807879,10.0,0.0,1.0,D09,0.388
42371.0,28,35.30451210395619,35.59334984449156,35.974601467405634,48.323796914207,31.402407024679068,62.86604127579737,61.04019448181453,13.0,0.0,1.0,D09,0.038
43446.0,6,38.62589524479133,38.690526126000826,38.916877812356134,39.15496963704857,42.29425151429769,61.3413612565445,48.97649956267551,11.0,0.0,1.0,D09,0.479
70945.0,19,34.23408014416647,33.73639641134761,33.80499915573979,45.17651216400624,27.14392808174699,50.17744497390515,48.92503946774921,21.0,0.0,1.0,D09,0.003
41366.0,17,36.78527243334703,36.94848641986664,37.04084498704998,31.52780854630139,41.56229739452601,72.13285457809695,55.18314557849442,12.0,0.0,1.0,D09,0.78
36746.0,13,26.25363200832022,24.79266525421964,25.250792625450195,28.2413106350478,20.551045979287146,57.13131313131313,48.07500340182338,18.0,0.0,1.0,D09,0.234
33680.0,16,38.73177046833572,40.75290126959639,40.16616798796181,47.15844871496831,43.16272931561757,67.03754469606675,51.35573040380047,10.0,0.0,1.0,D09,0.212
15748.0,25,72.39832031127432,85.52323126222349,80.10079555135286,99.38558548074543,129.19691127351498,57.40625,58.226568453136906,3.0,0.0,1.0,D09,0.269
56112.0,9,36.40044445307144,37.403916535615366,36.635003125532265,42.45759540153028,44.90520936011295,55.47240051347882,44.107570573139434,15.0,0.0,1.0,D09,0.192
78179.0,12,33.995952300736846,33.190480504337096,33.30501409024518,34.456310137067405,34.43889184697425,58.36831275720164,49.112034999744154,23.0,0.0,1.0,D09,0.382
52815.0,30,25.395791188304432,27.380862340493564,27.24474737853608,26.658272087811195,26.379518790523452,55.29396511079679,51.711862160371105,24.0,0.0,1.0,D09,0.566
25718.0,21,32.68285036006118,32.093558772478225,32.34220801632124,44.84876884351268,26.71234770228127,60.456112852664575,53.27890971304145,10.0,0.0,1.0,D09,0.041
33019.0,29,37.50423978582965,40.152728042540936,38.623359502975944,35.89603937642379,43.36689533507537,71.70028275212064,66.31996729155941,9.0,0.0,1.0,D09,0.618
39799.0,36,38.02377681730472,36.7513473075399,36.45659123381392,34.94229198300342,22.842882099059818,85.47659126775382,64.71823412648558,11.0,0.0,1.0,D09,0.57
18301.0,24,24.870345632424353,26.55276431947836,26.520176175115544,26.61406631039534,26.007866113344104,58.41291585127202,67.30736025353806,12.0,0.0,1.0,D09,0.497
17553.0,27,61.39764979456537,63.21494133094449,59.95135584219666,56.01110491313167,74.10682726436434,57.5821325648415,65.05360906967469,4.0,0.0,1.0,D09,0.569
44988.0,32,36.9184111458599,34.69378072967997,34.439074903788715,44.2527874527817,34.259484965258096,64.47364341085272,57.00720192051214,14.0,0.0,1.0,D09,0.057
57083.0,33,32.80376304897122,36.252464560286995,36.7322261977449,44.878844824584576,34.299280076953146,45.743964421855146,44.00818106967048,15.0,0.0,1.0,D09,0.1
44668.0,8,44.28452217711835,42.29206781621168,43.013153834334965,55.56384635519329,25.25915200096681,56.859078590785906,47.36345929972239,10.0,0.0,1.0,D09,0.073
37188.0,14,27.434158916368,28.154065299155477,27.52046854682502,32.044097181768606,30.054960693635408,56.38967786629719,46.007932666451545,16.0,0.0,1.0,D09,0.157
27748.0,26,32.14185738965981,31.68059198016062,31.641028181405364,34.942233707299486,21.024219324084502,72.93662628145387,66.71658737024221,11.0,0.0,1.0,D09,0.312
52100.0,17,59.750258480890466,65.68978862229726,64.59430061054952,81.8069627612649,84.33703863885582,51.87835926449788,43.15270633397313,6.0,0.0,2.0,D09,0.159
32904.0,25,44.731519907397995,41.17915025105979,41.899999398306754,53.4286759207235,34.07349562954584,46.86946107784431,45.991080941219444,9.0,0.0,2.0,D09,0.119
52814.0,20,63.72475754966115,60.07416398614122,59.10523613446772,81.63418940746578,47.04459813498761,62.20949263502455,52.196614534025066,7.0,0.0,2.0,D09,0.066
55472.0,21,41.1404716722038,43.19307778523593,43.29767069052741,58.540263707605575,56.79135836065889,42.709377901578456,41.28637888131559,11.0,0.0,2.0,D09,0.029
31362.0,23,88.24099755276113,98.84731853481506,92.24293948085801,154.16909991580792,28.355614159973175,53.552742616033754,55.74886805688413,3.0,0.0,2.0,D09,0.065
40783.0,15,45.999214842664685,51.99556516817867,51.08318728398632,53.988332797522716,78.94650620825175,47.58767507002801,47.14449648137705,8.0,0.0,2.0,D09,0.406
63554.0,29,36.937725511943526,38.72168577293934,38.68682339863565,53.70077716692197,37.147855691461224,46.7137669197755,46.89561632627372,15.0,0.0,2.0,D09,0.014
47724.0,26,36.449044249466475,36.31836464985178,36.34172504589365,33.16117454099568,48.02655007778649,52.62020766773163,49.27172910904367,15.0,0.0,2.0,D09,0.693
25580.0,32,40.29506880088279,37.2489065970417,35.748044499356304,37.2314200041134,43.69882703976305,55.26622989874925,53.69324002033077,9.0,0.0,2.0,D09,0.427
41957.0,12,35.553791387800196,37.18543291730823,36.945376866032575,49.84517053881535,38.449113412979095,47.17601380500432,48.18317244666905,12.0,0.0,2.0,D09,0.035
71691.0,19,54.40087045834681,53.24179878450158,53.144377078016824,50.99482763346831,45.62807784279535,49.14572864321608,43.50410825137755,10.0,0.0,2.0,D09,0.555
44216.0,11,72.04677399054853,65.54234809156407,67.60262847262106,100.21596223706771,46.95788879875782,47.140969162995596,50.98844309752126,5.0,0.0,2.0,D09,0.067
69778.0,24,33.080657752081095,33.64292996296738,33.06646919160845,34.599258262364444,35.93691795219924,48.43648449039882,45.06706985009602,21.0,0.0,2.0,D09,0.377
40193.0,18,43.37668952820884,43.13304279339185,43.0718475201724,44.40239069389648,39.46350065754348,56.27224513847967,47.49015997810564,9.0,0.0,2.0,D09,0.46
28434.0,34,68.0825922301002,66.0230099627136,67.1811496896625,43.00328933131973,86.38511733457753,84.21991701244814,56.51593163114581,4.0,0.0,2.0,D09,0.85
58566.0,9,28.86898556068447,30.81255764645237,29.52157733445757,29.44628421742861,25.69755647131572,47.768400604360025,46.630795239152334,23.0,0.0,2.0,D09,0.512
69824.0,10,30.005375537903216,29.962173231936298,30.23510392158859,33.58561277573204,20.133363464425504,56.48177339901478,47.226669912923924,24.0,0.0,2.0,D09,0.197
74857.0,22,40.11429830480178,38.445972383973064,38.99234036285407,40.65289531533646,35.86007879243297,52.876352902591016,44.746570127042226,16.0,0.0,2.0,D09,0.394
42618.0,30,101.93146278706182,79.15971640570253,83.6828670062926,86.8832445538495,97.55490425797977,55.47908232118758,48.741071847576144,4.0,0.0,2.0,D09,0.46
18101.0,12,35.5404797885915,32.055500938146,33.122167615842116,45.391149497205234,17.62899753608414,56.8733986435569,61.61692724158886,9.0,0.0,3.0,D09,0.064
24849.0,42,48.43981973913688,45.81107016591909,44.25074198099368,47.18065731344459,23.832170325375213,52.54146806482364,45.00262234235688,6.0,0.0,3.0,D09,0.401
28485.0,53,38.627078086635166,38.89860812662806,39.75423652685307,44.86515781221688,27.15357446308998,57.62290502793296,54.89043356152361,8.0,0.0,3.0,D09,0.301
14917.0,28,25.230942803010283,23.841671399048085,23.39145479856385,26.164164120128415,22.071938849927353,54.70153496304719,62.5846349802239,13.0,0.0,3.0,D09,0.284
28577.0,49,62.53352757866922,69.65417598353774,67.26849656335135,58.61447472793299,87.97955793849937,64.4326923076923,54.02180074885398,4.0,0.0,3.0,D09,0.625
48630.0,25,36.466985399316144,37.808204278420305,37.22025875751016,44.92762794631644,42.77349602120979,58.7426326129666,53.9216021065191,14.0,0.0,3.0,D09,0.114
40609.0,9,35.00728984342076,37.699039673329715,37.65350841155981,46.76505897476601,40.008629186137064,54.51815642458101,58.95168760778517,11.0,0.0,3.0,D09,0.138
46194.0,21,33.11650621961071,30.129175514843215,30.650516075109962,29.953993703727892,22.546367430189648,58.45772266065389,56.39764904533056,18.0,0.0,3.0,D09,0.559
87096.0,17,34.5173438439531,37.917859196986626,37.55084013223518,36.683183875060664,42.69728979343712,58.88671397112797,50.76448771974142,20.0,0.0,3.0,D09,0.572
43730.0,39,29.62330505091229,29.466661595698216,30.305739677463812,33.313403991603366,27.67268229554621,46.687230514096186,49.56592728104276,18.0,0.0,3.0,D09,0.256
13881.0,41,30.257364383515647,29.620543788685595,28.51282477815797,33.34743870717234,30.47098074808542,56.41649196366178,51.312052117263846,7.0,0.0,3.0,D09,0.245
56518.0,13,39.89430715344415,45.49289503630063,44.803353224650905,36.48740502168639,32.76121777346271,45.69733534439417,55.10481616476167,12.0,0.0,3.0,D09,0.799
43544.0,32,38.72102246523758,40.191417904523156,40.62673854214313,53.73719787500824,54.1587546602289,49.4749430523918,54.11057780635679,11.0,0.0,3.0,D09,0.066
41741.0,8,98.90969617318815,98.78231235752344,100.19572251213646,134.1396243521082,117.6517000211159,66.20499108734403,54.99968855561678,3.0,0.0,3.0,D09,0.199
45114.0,36,35.84146822252354,37.790908946179776,39.19834533858465,36.13517252979821,45.61225710057399,53.27777777777778,47.633550560801524,11.0,0.0,3.0,D09,0.633
32792.0,54,43.94829390623426,43.6477631368243,44.55800870946543,38.550304692651245,35.31757777095464,62.26659038901602,49.17015818725951,7.0,0.0,3.0,D09,0.704
51758.0,48,67.82146381256743,71.75739227282197,71.31400816525748,81.23076805008371,63.44855246792654,57.68394648829432,47.79979906487886,5.0,0.0,3.0,D09,0.314
35409.0,56,35.63668611551607,36.87999122101564,37.780480179643824,42.1322623596991,24.473879959210645,60.677830188679245,47.12299132988788,10.0,0.0,3.0,D09,0.312
31824.0,33,23.80062279168739,23.13963852500965,23.42609064908048,25.604380979082006,20.445541016940844,57.7630615640599,52.073340874811464,21.0,0.0,3.0,D09,0.245
38980.0,30,37.0363287935179,36.47382127079544,36.10812338508892,36.5845212649616,36.40701613710628,56.86169284467714,51.0624166239097,12.0,0.0,3.0,D09,0.474
52242.0,51,38.054487479924006,42.71899007492586,42.75687053091022,55.82442273195554,45.49824965090389,46.99384885764499,43.55072546992841,11.0,0.0,3.0,D09,0.055
50951.0,26,23.59077962792674,23.93189724063354,24.318543222202603,30.257258645942123,24.032210185140457,62.46178861788618,55.58622381877785,29.0,0.0,3.0,D09,0.018
43066.0,27,38.698280187503585,36.425792408571326,36.94811379884706,43.44877062568575,40.12260104568092,63.466914805624484,58.57929689314076,13.0,0.0,3.0,D09,0.169
47402.0,40,44.685904798970746,42.67463664179563,42.16604521509255,40.30819551489378,46.07013308654163,52.80438842203548,50.68619467533016,12.0,0.0,3.0,D09,0.589
27818.0,47,42.620109677648465,39.75248990958834,38.42571901885719,41.252195883121836,44.1375009506205,54.66606170598911,44.60855310563482,8.0,0.0,3.0,D09,0.385
28620.0,11,31.257796766402105,32.53056403949287,31.501244276097918,34.1728982873944,30.371119820544457,68.67928541046363,65.13610916724983,13.0,0.0,3.0,D09,0.336
40213.0,35,45.34986357577735,45.4894406416614,44.1449747334794,57.87699417867033,57.02934113243727,50.6662927650028,46.60609753064929,9.0,0.0,3.0,D09,0.077
53955.0,23,39.31671814650131,40.44576355082536,40.78912992343305,49.97018351007569,37.5235664407678,50.49896136269215,50.56613844870726,13.0,0.0,3.0,D09,0.119
30240.0,19,28.8240112358248,29.70280442138132,29.00815250042027,37.91466814223056,30.865937933109926,52.4757822546078,58.11441798941799,14.0,0.0,3.0,D09,0.048
37732.0,43,45.80354507198497,44.16210740182985,45.036752200687815,60.96708065546274,52.04384274510384,48.01374775851763,49.87792854871197,9.0,0.0,3.0,D09,0.063
38855.0,22,36.627526966459186,35.61786956878204,35.31976918680256,35.76311345023334,30.76913293484424,58.92725880551302,54.73488611504311,13.0,0.0,3.0,D09,0.482
47656.0,16,42.791921675394455,40.02578845237807,40.16952808616884,40.53948385842853,36.61866925618542,56.09546351084813,54.07065217391305,12.0,0.0,3.0,D09,0.482
30941.0,14,34.56574444759123,37.010739672235985,36.60655924169204,43.51088981396079,32.34620795218302,67.87993421052632,59.308458033030604,10.0,0.0,3.0,D09,0.203
28038.0,52,43.70250953686694,44.847377094002205,45.411133581773406,40.137464777227436,61.149202242466295,40.6913680781759,47.690669805264285,7.0,0.0,3.0,D09,0.668
18976.0,37,37.51801329919597,38.56906304079581,38.94625963813117,46.53486151957713,33.33564810020987,50.180851063829785,54.12903225806452,8.0,0.0,3.0,D09,0.246
40574.0,15,36.647470419492485,34.708437535302224,35.28361890162512,40.33371615504087,37.07208789815555,60.237662337662336,62.38223985803717,13.0,0.0,3.0,D09,0.23
21644.0,54,40.782750314043895,48.9696905660817,47.2689774501982,51.14710944187292,51.67906963912517,49.51119402985075,48.928109406764,6.0,0.0,4.0,D09,0.394
18921.0,17,48.2201991225687,42.94851493785243,42.77497208493276,34.46294542885912,45.78309427410826,58.93988684582744,57.06437291897891,7.0,0.0,4.0,D09,0.745
47962.0,9,31.471678340866713,31.316142413268203,32.48893665485014,31.358722450811836,31.702735107919942,70.70601653835186,54.84160376965097,15.0,0.0,4.0,D09,0.574
24907.0,13,37.543794698572256,33.69105103077275,34.84075036404893,34.534034996675736,24.704096429769802,57.85954381752701,58.05484401975348,9.0,0.0,4.0,D09,0.511
53157.0,16,37.52563607083447,35.02031585619304,35.20118309283867,41.158273177915575,41.832427051777344,46.92938420348059,48.658125928852265,15.0,0.0,4.0,D09,0.154
41444.0,38,35.0877253593618,39.77508239237911,39.70093993263573,46.63940270373343,42.53828695282509,54.01782077393075,47.023694624071034,11.0,0.0,4.0,D09,0.191
16264.0,43,18.16628169425242,19.125218712626083,19.313241924095173,27.333365529774536,19.70889014436099,52.561052631578946,56.7836325627152,18.0,0.0,4.0,D09,0.001
59033.0,30,34.01555484624286,36.09720301361268,35.275436436740215,36.07769598721514,37.593965888564576,49.541415423675026,49.17818847085528,16.0,0.0,4.0,D09,0.452
46870.0,60,74.00209275473794,97.42910048292202,90.40807448370153,89.716402335967,70.83666236764903,59.23519163763066,49.08553445700875,3.0,0.0,4.0,D09,0.491
53863.0,32,27.052881896075927,26.26871070687743,26.55102600416796,31.416651354752403,25.14522855975217,52.31184703331362,52.622765163470284,26.0,0.0,4.0,D09,0.083
31681.0,28,56.79827250462658,45.83197107074674,47.46630766560044,59.67583684308936,68.61264266177076,42.9739837398374,55.269467504182316,7.0,0.0,4.0,D09,0.174
51029.0,39,33.38984365372526,34.179084144452716,33.02434793358337,39.62894575528766,33.209688837899286,54.8171771392485,48.826098884947776,17.0,0.0,4.0,D09,0.101
22922.0,41,28.139877004091375,31.544524782066265,31.478083839535213,38.72484609536837,28.178785724408364,49.62051569506726,46.93255387837012,11.0,0.0,4.0,D09,0.14
31116.0,25,42.746137343945,42.12604705640234,42.290129683278174,52.879945189881546,38.9536974945647,52.565649867374006,55.96704644482458,8.0,0.0,4.0,D09,0.183
45162.0,58,77.33229348222463,81.77603332332859,79.37105607365251,65.27381708055837,88.34033550387578,48.99470899470899,49.99107656879678,4.0,0.0,4.0,D09,0.68
46056.0,49,31.92518140267786,37.94553374946654,37.19112790040794,42.78989055281539,45.659896261814154,45.90653008962868,52.92931442593759,14.0,0.0,4.0,D09,0.225
64213.0,44,53.306969238678185,51.04614658268418,50.54207620081116,42.84701356147387,61.275750184989874,43.86179981634527,45.340445081214085,10.0,0.0,4.0,D09,0.76
25587.0,12,34.32283487738257,34.598619528158224,35.18657814659952,43.595724821966,38.012076552864784,62.794582392776526,58.8717708211201,9.0,0.0,4.0,D09,0.13
64243.0,22,34.875485013600965,33.83283822749715,33.44278730744821,32.50269556465962,34.22480665010802,52.50737684421105,53.22258375887408,20.0,0.0,4.0,D09,0.573
24389.0,15,47.636575720982236,50.34891495475985,49.160967485584635,32.90449590323887,46.26053448894458,60.18515123739688,59.91910287424658,6.0,0.0,4.0,D09,0.85
31143.0,45,31.549374344280125,31.982204605254825,31.71084346845978,49.59970123501659,35.06918639482863,54.55965500718735,58.29001477864165,11.0,0.0,4.0,D09,0.002
24639.0,51,57.4821850414594,64.48383810168177,66.38348248597322,84.661263961277,80.9069421862616,46.21272365805169,48.725516457648446,4.0,0.0,4.0,D09,0.217
39158.0,46,51.93644144398672,48.927474426363226,48.58783732384701,52.81701367252667,48.22109501297835,58.0152198421646,50.52632923029777,8.0,0.0,4.0,D09,0.354
40052.0,10,34.5769659331462,35.821303460481644,36.882077680687786,33.66632190458678,27.0801150554193,46.30577367205543,45.45056426645361,12.0,0.0,4.0,D09,0.654
43721.0,57,73.64975090237134,75.37800942528226,80.94963840924672,129.5929975556933,101.29289160086304,53.86004514672686,44.13698222821985,4.0,0.0,4.0,D09,0.034
59559.0,11,39.04499442401056,37.90019059988521,36.98783013339399,46.10491915593687,43.04195087010174,46.99019316493313,47.173575781997684,16.0,0.0,4.0,D09,0.044
30568.0,36,35.47112879080005,33.19580344667151,33.029953981192214,20.816115950571078,31.292043025119764,56.76964903608502,51.30800183198116,12.0,0.0,4.0,D09,0.982
31890.0,42,34.4210032269148,37.14178766840615,37.44974823192932,34.606240690886665,43.1314955660813,54.25119490175252,53.23251803073064,10.0,0.0,4.0,D09,0.626
70370.0,14,30.676753473848407,29.5964999901242,29.451762226853607,32.863479160537594,33.11981218896816,57.78301359657292,50.25755293448913,25.0,0.0,4.0,D09,0.178
31581.0,37,46.799940260080106,50.54693687499558,49.705707833210326,40.753023079365384,49.81948351597295,62.35854765506808,57.58633355498559,7.0,0.0,4.0,D09,0.768
38733.0,53,30.57148039752426,28.658675136474915,28.223063285954208,35.90010163846583,24.927221813769705,49.11917258413091,46.58392068778561,17.0,0.0,4.0,D09,0.037
28471.0,48,31.948054460692923,34.68410522820202,34.520977558090365,25.63038531650803,39.772223970496555,54.28129994672349,48.54033929261354,10.0,0.0,4.0,D09,0.888
26203.0,20,44.84981084133035,41.52620375422736,42.571838074013726,54.44002496657725,54.59875940455048,59.565284178187405,61.0866694653284,7.0,0.0,4.0,D09,0.178
57055.0,31,33.88700972345161,35.4075755927264,35.30930604086042,27.827933952485346,42.9434602440469,52.86390149060272,50.0107440189291,16.0,0.0,5.0,D09,0.906
57320.0,27,26.9482043738628,28.06564618688214,27.888780554519055,29.06633742313682,28.446459270562883,57.903473161930535,53.589654570830426,25.0,0.0,5.0,D09,0.354
63659.0,43,36.186522754785415,35.783788887965166,35.855944005593585,44.23535030783259,28.101241900896284,52.274771024146546,48.15012802588794,17.0,0.0,5.0,D09,0.07
34627.0,33,36.87243572010217,38.15889669507877,38.21045003670233,40.025192969735464,43.217271754578874,55.53155201819215,48.681029254627894,10.0,0.0,5.0,D09,0.414
79190.0,8,39.26738606396416,37.221131777418044,37.95547755070553,37.329834661215045,30.708938231940593,51.73848069738481,43.56667508523803,18.0,0.0,5.0,D09,0.542
43045.0,20,33.10465088702315,37.51046038836712,37.121759253494346,40.99565094131121,29.46306520293453,50.897294818890416,47.22539203159484,12.0,0.0,5.0,D09,0.288
54154.0,17,43.17899077835987,40.879731344155395,40.9005685143301,39.173430871056105,36.54403875901993,52.866336633663366,52.94912656498135,13.0,0.0,5.0,D09,0.576
27543.0,34,50.21202323670737,54.59645932170468,55.83917239139941,43.84770757738285,66.83761473763926,60.288007554296506,59.52172965907853,5.0,0.0,5.0,D09,0.722
72067.0,11,34.58148444896996,35.54349060847167,35.41320135550684,40.8228582538478,27.45565247954027,55.199666759233544,48.60249490057863,18.0,0.0,5.0,D09,0.154
60725.0,30,25.5743969549739,23.955411052113785,23.98591688475269,31.98933923905869,24.63772495952733,56.03944315545244,54.72205846027172,34.0,0.0,5.0,D09,0.0
52593.0,28,43.098688058188245,46.075654517113975,44.7556978829348,55.175614784691625,60.53879817530324,55.659903381642515,54.14914532352214,11.0,0.0,5.0,D09,0.13
75076.0,9,25.85170399988123,27.46863715103286,27.616912350554237,27.315442293920494,30.95103452912901,55.845746498120945,46.2816079705898,28.0,0.0,5.0,D09,0.544
53302.0,29,39.96751616059318,40.94849097373249,39.74789587201299,32.732417360950336,34.132898196649975,55.08685162846803,47.181287756556976,13.0,0.0,5.0,D09,0.816
53328.0,40,58.60023311131641,61.85461688202736,60.36118386303728,60.20373170380414,66.12579709771195,58.94467213114754,60.691044104410445,7.0,0.0,5.0,D09,0.498
45464.0,37,46.608016310294445,43.7378761047045,43.634558117544266,62.476523879783294,43.4092033194474,53.37858087263111,51.4746832658807,10.0,0.0,5.0,D09,0.025
49864.0,26,30.595076576951534,32.06326433667871,31.949145383093686,31.162446194460973,29.49590637988671,51.02465826856071,48.05783731750361,17.0,0.0,5.0,D09,0.544
56947.0,42,27.486523585540414,27.253054489118522,27.10998255003832,26.37940770930012,25.2211645420895,57.44257646343934,53.146763373256995,25.0,0.0,5.0,D09,0.602
57644.0,39,56.260489492405284,55.183688584411414,53.95308048378026,73.98187674360386,53.19977197115155,48.8124183006536,49.385035736590105,8.0,0.0,5.0,D09,0.066
60493.0,19,30.728459629876404,32.840148937914215,32.37660692593723,44.41731444637115,27.540936642053207,45.6378453038674,47.10875638503629,19.0,0.0,5.0,D09,0.005
76576.0,15,30.941694758674696,30.556237035591685,31.379637544756235,31.67142467700337,42.966863837080346,49.93125919697288,43.2958368157125,25.0,0.0,5.0,D09,0.455
34966.0,35,88.26516975525483,94.49156464428735,91.21845994987041,151.27815340206072,126.85742363099428,47.90926640926641,50.71237773837442,3.0,0.0,5.0,D09,0.048
37949.0,38,64.10004112414794,58.07698653294281,57.54098139040996,48.15838895049481,70.87377911956308,59.11543624161074,52.83896808875069,6.0,0.0,5.0,D09,0.723
92446.0,10,38.07674399686978,37.90999096296927,37.67695252373377,36.1320177027082,50.54333479370575,54.460466084061586,48.49726326720464,21.0,0.0,5.0,D09,0.61
47725.0,44,44.14832713205235,43.1381628514128,45.34972808130003,51.188858123563435,44.79366846664972,54.544920235096555,47.765615505500264,10.0,0.0,5.0,D09,0.278
39832.0,22,32.08945021104562,30.735349371850962,31.313369295487664,35.24179842732723,24.459248209496483,46.70073589533933,49.47971480216911,15.0,0.0,5.0,D09,0.221
54664.0,12,35.909859733204854,37.3110573513927,38.0464114646857,38.55773177443611,41.398009393218494,68.95713391739675,56.42013025025611,14.0,0.0,5.0,D09,0.456
