Well,SiteX,SiteY,Label,NearestNeighborDistance
C16,0,0,27,21.93171219946131
C16,0,0,27,8.06225774829855
C16,0,0,27,8.06225774829855
C16,0,0,27,23.323807579381203
C16,0,0,27,58.69412236331676
C16,0,0,27,13.0
C16,0,0,27,13.0
C16,0,0,27,19.849433241279208
C16,0,0,27,66.52818951391959
C16,0,0,27,52.32590180780452
C16,0,0,27,47.12748667179272
C16,0,0,27,52.32590180780452
C16,0,0,27,65.94694837519019
C16,0,0,27,47.12748667179272
C16,0,0,27,60.29925372672534
C16,0,0,27,46.57252408878007
C16,0,0,27,46.57252408878007
C16,0,0,28,55.54277630799526
C16,0,0,28,55.54277630799526
C16,0,0,28,117.34564329364768
C16,0,0,28,34.132096331752024
C16,0,0,28,34.132096331752024
C16,0,0,28,42.42640687119285
C16,0,0,28,66.73080248281148
C16,0,0,28,62.68173577685928
C16,0,0,28,56.08029957123981
C16,0,0,28,14.142135623730951
C16,0,0,28,56.08029957123981
C16,0,0,28,56.4003546088143
C16,0,0,28,14.142135623730951
C16,0,0,28,25.298221281347036
C16,0,0,14,52.478567053607705
C16,0,0,14,18.384776310850235
C16,0,0,14,38.48376280978771
C16,0,0,14,47.853944456021594
C16,0,0,14,53.85164807134504
C16,0,0,14,18.384776310850235
C16,0,0,14,53.85164807134504
C16,0,0,14,38.48376280978771
C16,0,0,14,30.0
C16,0,0,14,51.0
C16,0,0,14,30.0
C16,0,0,14,45.65084884205331
C16,0,0,14,66.60330322138685
C16,0,0,14,77.78174593052023
C16,0,0,14,12.206555615733702
C16,0,0,14,12.206555615733702
C16,0,0,14,73.66138744281159
C16,0,0,14,43.56604182158393
C16,0,0,14,40.792156108742276
C16,0,0,14,43.56604182158393
C16,0,0,14,49.92995093127971
C16,0,0,14,40.792156108742276
C16,0,0,35,48.507731342539614
C16,0,0,35,48.507731342539614
C16,0,0,35,91.7877987534291
C16,0,0,35,107.93516572461452
C16,0,0,35,105.32331175955302
C16,0,0,35,24.413111231467404
C16,0,0,35,24.413111231467404
C16,0,0,35,113.1591799192624
C16,0,0,35,42.95346318982906
C16,0,0,35,42.95346318982906
C16,0,0,9,92.91393867445294
C16,0,0,9,32.01562118716424
C16,0,0,9,32.01562118716424
C16,0,0,9,40.607881008493905
C16,0,0,9,37.589892258425
C16,0,0,9,35.35533905932738
C16,0,0,9,35.35533905932738
C16,0,0,9,16.76305461424021
C16,0,0,9,12.727922061357855
C16,0,0,9,12.727922061357855
C16,0,0,9,16.76305461424021
C16,0,0,12,30.805843601498726
C16,0,0,12,30.805843601498726
C16,0,0,12,63.52952069707436
C16,0,0,12,45.18849411078001
C16,0,0,12,68.5054742338158
C16,0,0,12,40.496913462633174
C16,0,0,12,40.496913462633174
