Area_of_Cytoplasm,Label,Mean_Of_mean_nn_distances_simulated_1000,Mean_nn_distances_measured,Mean_nn_distances_simulated,Mean_protein_intensity_around_pbodies,Mean_protein_intensity_cytoplasm,Number_of_pbodies,SiteX,SiteY,Well,p-value_measured_lower_1000_sim
54289.0,27,37.4685272800965,38.27940044897796,34.29960849724133,58.514881865602945,46.71610429447853,17.0,0.0,0.0,C10,0.428
57163.0,28,43.737818436433734,49.33412714172205,39.30340536057662,51.01375176304654,51.53946890438826,14.0,0.0,0.0,C10,0.225
96966.0,14,40.704692929487805,42.70589224335303,42.08026256427484,54.185152057245084,42.76369816020857,22.0,0.0,0.0,C10,0.335
81982.0,35,62.17133740937418,64.99540676845314,51.72800575889077,47.18269653052262,45.72018486510859,10.0,0.0,0.0,C10,0.401
53229.0,9,47.81060327972111,33.166871435050105,45.986499638746565,48.56749311294766,44.43990642362803,11.0,0.0,0.0,C10,0.961
48701.0,12,44.7187030331224,47.592488634053375,23.122110437952543,44.715030408340574,45.18446996428648,11.0,0.0,0.0,C10,0.371
39019.0,31,47.247827029951885,49.598478339307775,40.530093071078774,66.41468005018821,52.68034504998388,9.0,0.0,0.0,C10,0.401
45829.0,32,74.86747348300173,66.11532351860733,51.5065967450581,63.859911894273125,52.91514661740938,5.0,0.0,0.0,C10,0.654
48002.0,15,55.12907699194645,45.67040041221551,59.674553901711015,62.43082021541011,46.681663597963826,8.0,0.0,0.0,C10,0.768
104304.0,13,48.80133035860508,49.95479936669833,61.45407501259371,52.24904423812124,43.04077187956795,17.0,0.0,0.0,C10,0.415
60571.0,36,64.85696936230765,61.14354516588818,94.72319783176671,44.71734475374733,44.50599822779633,7.0,0.0,0.0,C10,0.609
24925.0,10,55.35537270225689,46.87587004954991,76.90711725602084,63.55467869222097,60.79892670045572,5.0,0.0,0.0,C10,0.725
34531.0,33,65.83585184338479,59.762080423255796,95.54084071076295,61.13993871297242,49.284427205814985,5.0,0.0,0.0,C10,0.638
38860.0,17,29.51992223511471,29.571534214066908,24.495353782946037,62.29066575154427,48.828619909502265,19.0,0.0,0.0,C10,0.486
68688.0,8,42.09178953217249,43.59729665870748,48.6735264765347,52.41071902361369,46.45567887866209,17.0,0.0,0.0,C10,0.399
98406.0,19,39.22349499817767,42.39241157324724,44.45403398775337,53.0906781317178,47.38010947385948,24.0,0.0,0.0,C10,0.241
48207.0,20,38.7861940758523,29.00754209767147,43.950424297310455,61.56185012549301,50.58974857019532,14.0,0.0,0.0,C10,0.94
44294.0,37,40.178406843509435,34.88770999695022,32.91394675002078,54.71212121212121,50.93055948674403,13.0,0.0,0.0,C10,0.786
