Area_of_Cytoplasm,Label,Mean_Of_mean_nn_distances_simulated_1000,Mean_nn_distances_measured,Mean_nn_distances_simulated,Mean_protein_intensity_around_pbodies,Mean_protein_intensity_cytoplasm,Number_of_pbodies,SiteX,SiteY,Well,p-value_measured_lower_1000_sim
54289.0,27,37.79805478945791,38.27940044897796,42.7948233309154,58.514881865602945,46.71610429447853,17.0,0.0,0.0,F04,0.471
57163.0,28,43.66532089671146,49.33412714172205,42.185468753558006,51.01375176304654,51.53946890438826,14.0,0.0,0.0,F04,0.211
96966.0,14,40.96890340818121,42.70589224335303,38.97166688975321,54.185152057245084,42.76369816020857,22.0,0.0,0.0,F04,0.361
81982.0,35,62.05718324775679,64.99540676845314,55.65608397401714,47.18269653052262,45.72018486510859,10.0,0.0,0.0,F04,0.398
53229.0,9,48.295203506976435,33.166871435050105,30.14896089262422,48.56749311294766,44.43990642362803,11.0,0.0,0.0,F04,0.96
48701.0,12,44.363441283340286,47.592488634053375,61.93887532564436,44.715030408340574,45.18446996428648,11.0,0.0,0.0,F04,0.354
39019.0,31,47.38586768610233,49.598478339307775,51.26174073011671,66.41468005018821,52.68034504998388,9.0,0.0,0.0,F04,0.408
45829.0,32,74.02154101401975,66.11532351860733,50.713754638046154,63.859911894273125,52.91514661740938,5.0,0.0,0.0,F04,0.631
48002.0,15,54.78477437790866,45.67040041221551,52.332916514726406,62.43082021541011,46.681663597963826,8.0,0.0,0.0,F04,0.779
104304.0,13,48.937588898372326,49.95479936669833,42.308343786833746,52.24904423812124,43.04077187956795,17.0,0.0,0.0,F04,0.459
60571.0,36,65.18790212828576,61.14354516588818,52.60631024494756,44.71734475374733,44.50599822779633,7.0,0.0,0.0,F04,0.603
24925.0,10,54.34381802304418,46.87587004954991,48.85016189901795,63.55467869222097,60.79892670045572,5.0,0.0,0.0,F04,0.69
34531.0,33,65.92908635834993,59.762080423255796,65.95009960304213,61.13993871297242,49.284427205814985,5.0,0.0,0.0,F04,0.625
38860.0,17,29.40346137699396,29.571534214066908,30.91754806414915,62.29066575154427,48.828619909502265,19.0,0.0,0.0,F04,0.489
68688.0,8,41.62840904484116,43.59729665870748,38.14262423634878,52.41071902361369,46.45567887866209,17.0,0.0,0.0,F04,0.372
98406.0,19,39.53285732290643,42.39241157324724,36.36164079283267,53.0906781317178,47.38010947385948,24.0,0.0,0.0,F04,0.261
