Area_of_Cytoplasm,Label,Mean_Of_mean_nn_distances_simulated_1000,Mean_nn_distances_measured,Mean_nn_distances_simulated,Mean_protein_intensity_around_pbodies,Mean_protein_intensity_cytoplasm,Number_of_pbodies,SiteX,SiteY,Well,p-value_measured_lower_1000_sim
54289.0,27,37.560196864728496,38.27940044897796,35.27886476774281,58.514881865602945,46.71610429447853,17.0,0.0,0.0,C06,0.447
57163.0,28,43.715447881950475,49.33412714172205,36.150931446634914,51.01375176304654,51.53946890438826,14.0,0.0,0.0,C06,0.208
96966.0,14,40.7866784707366,42.70589224335303,38.486088913472685,54.185152057245084,42.76369816020857,22.0,0.0,0.0,C06,0.355
81982.0,35,61.82069941259049,64.99540676845314,93.54008822608097,47.18269653052262,45.72018486510859,10.0,0.0,0.0,C06,0.377
53229.0,9,48.08006315948168,33.166871435050105,40.535335135859924,48.56749311294766,44.43990642362803,11.0,0.0,0.0,C06,0.958
48701.0,12,44.46754083949169,47.592488634053375,45.89270572788093,44.715030408340574,45.18446996428648,11.0,0.0,0.0,C06,0.352
39019.0,31,47.93243972627236,49.598478339307775,59.03939207920622,66.41468005018821,52.68034504998388,9.0,0.0,0.0,C06,0.415
45829.0,32,74.25635263747276,66.11532351860733,38.63268239328192,63.859911894273125,52.91514661740938,5.0,0.0,0.0,C06,0.644
48002.0,15,55.77589608698474,45.67040041221551,68.23080831925228,62.43082021541011,46.681663597963826,8.0,0.0,0.0,C06,0.807
104304.0,13,48.61828638243055,49.95479936669833,38.949292687618886,52.24904423812124,43.04077187956795,17.0,0.0,0.0,C06,0.433
60571.0,36,65.87871183807769,61.14354516588818,69.08460677593935,44.71734475374733,44.50599822779633,7.0,0.0,0.0,C06,0.604
24925.0,10,54.656058903077124,46.87587004954991,83.98106436471951,63.55467869222097,60.79892670045572,5.0,0.0,0.0,C06,0.709
34531.0,33,66.45668830668377,59.762080423255796,71.2262549740559,61.13993871297242,49.284427205814985,5.0,0.0,0.0,C06,0.63
38860.0,17,29.486975533073945,29.571534214066908,30.8498188826664,62.29066575154427,48.828619909502265,19.0,0.0,0.0,C06,0.485
68688.0,8,41.737799851004766,43.59729665870748,37.88069413347187,52.41071902361369,46.45567887866209,17.0,0.0,0.0,C06,0.385
98406.0,19,39.044437743937394,42.39241157324724,38.98825129286924,53.0906781317178,47.38010947385948,24.0,0.0,0.0,C06,0.262
48207.0,20,39.37344018594737,29.00754209767147,41.60713528752135,61.56185012549301,50.58974857019532,14.0,0.0,0.0,C06,0.957
44294.0,37,39.80798752170094,34.88770999695022,27.04671899558448,54.71212121212121,50.93055948674403,13.0,0.0,0.0,C06,0.77
81250.0,29,82.90716051727574,86.47547591048908,83.7243149332373,41.396534148827726,48.487983320697495,6.0,0.0,0.0,C06,0.425
77582.0,24,42.497850209518745,42.20516251647334,46.79082273507517,57.69698692438886,52.210450899254084,18.0,0.0,0.0,C06,0.519
46258.0,22,45.54694442998062,44.51481588068407,58.79775188789788,63.320454545454545,56.11134373381959,11.0,0.0,1.0,C06,0.55
39103.0,35,43.173354556948865,41.789195694754774,35.63358430321973,52.437361419068736,55.46722634807879,10.0,0.0,1.0,C06,0.585
44628.0,28,40.76986959869329,48.323796914207,33.964292300576105,62.86604127579737,61.04019448181453,13.0,0.0,1.0,C06,0.15
45329.0,6,44.109239038623365,39.15496963704857,27.817125459280724,61.3413612565445,48.97649956267551,11.0,0.0,1.0,C06,0.724
74728.0,19,38.0623036269098,45.17651216400624,36.704652289984125,50.17744497390515,48.92503946774921,21.0,0.0,1.0,C06,0.069
43297.0,17,41.17474787801359,31.52780854630139,50.5283193832337,72.13285457809695,55.18314557849442,12.0,0.0,1.0,C06,0.926
38330.0,13,29.51378078188152,28.2413106350478,28.776483864906726,57.13131313131313,48.07500340182338,18.0,0.0,1.0,C06,0.645
35476.0,16,43.726028609786034,47.15844871496831,28.370592550223733,67.03754469606675,51.35573040380047,10.0,0.0,1.0,C06,0.36
17416.0,25,80.63305634248042,99.38558548074543,128.8842445572285,57.40625,58.226568453136906,3.0,0.0,1.0,C06,0.264
58157.0,9,40.93360695561438,42.45759540153028,44.54992415388079,55.47240051347882,44.107570573139434,15.0,0.0,1.0,C06,0.403
83219.0,12,38.22214574271877,34.456310137067405,36.34223511328908,58.36831275720164,49.112034999744154,23.0,0.0,1.0,C06,0.789
54967.0,30,30.84666447060232,26.658272087811195,28.82617043330679,55.29396511079679,51.711862160371105,24.0,0.0,1.0,C06,0.869
27379.0,21,37.01354554936382,44.84876884351268,38.026210167123224,60.456112852664575,53.27890971304145,10.0,0.0,1.0,C06,0.132
34505.0,29,44.148378377417714,35.89603937642379,55.65579066384304,71.70028275212064,66.31996729155941,9.0,0.0,1.0,C06,0.82
41366.0,36,41.90087782065335,34.94229198300342,44.00269837568819,85.47659126775382,64.71823412648558,11.0,0.0,1.0,C06,0.811
19950.0,24,30.053485497044836,26.61406631039534,25.060262403170764,58.41291585127202,67.30736025353806,12.0,0.0,1.0,C06,0.735
19346.0,27,66.21141781826051,56.01110491313167,15.20458227885499,57.5821325648415,65.05360906967469,4.0,0.0,1.0,C06,0.677
46686.0,32,38.89266049146504,44.2527874527817,41.515377228237064,64.47364341085272,57.00720192051214,14.0,0.0,1.0,C06,0.199
59260.0,33,41.68495819120677,44.878844824584576,39.075336014853185,45.743964421855146,44.00818106967048,15.0,0.0,1.0,C06,0.32
46753.0,8,47.89948801809919,55.56384635519329,55.93795440416925,56.859078590785906,47.36345929972239,10.0,0.0,1.0,C06,0.192
38910.0,14,31.793923959454126,32.044097181768606,21.404254625200682,56.38967786629719,46.007932666451545,16.0,0.0,1.0,C06,0.476
29100.0,26,35.376300966731385,34.942233707299486,31.233494129965923,72.93662628145387,66.71658737024221,11.0,0.0,1.0,C06,0.522
54129.0,17,71.52107060506977,81.8069627612649,63.06744601869468,51.87835926449788,43.15270633397313,6.0,0.0,2.0,C06,0.289
35838.0,25,47.117800262385806,53.4286759207235,56.49524536422772,46.86946107784431,45.991080941219444,9.0,0.0,2.0,C06,0.249
54791.0,20,64.83423709282312,81.63418940746578,73.3585461632134,62.20949263502455,52.196614534025066,7.0,0.0,2.0,C06,0.128
57509.0,21,47.4567755354422,58.540263707605575,51.78114763187711,42.709377901578456,41.28637888131559,11.0,0.0,2.0,C06,0.102
33218.0,23,102.12663791624162,154.16909991580792,53.40713485659265,53.552742616033754,55.74886805688413,3.0,0.0,2.0,C06,0.116
42739.0,15,56.932552266511195,53.988332797522716,62.08380844214538,47.58767507002801,47.14449648137705,8.0,0.0,2.0,C06,0.595
65693.0,29,42.9447958488031,53.70077716692197,38.06941553388547,46.7137669197755,46.89561632627372,15.0,0.0,2.0,C06,0.053
50706.0,26,39.9561320424539,33.16117454099568,38.613817526394854,52.62020766773163,49.27172910904367,15.0,0.0,2.0,C06,0.862
27443.0,32,40.912606287459475,37.2314200041134,42.534407240978226,55.26622989874925,53.69324002033077,9.0,0.0,2.0,C06,0.674
43928.0,12,41.616935069377455,49.84517053881535,38.99857180045838,47.17601380500432,48.18317244666905,12.0,0.0,2.0,C06,0.13
73901.0,19,59.27464341395987,50.99482763346831,48.565213551142165,49.14572864321608,43.50410825137755,10.0,0.0,2.0,C06,0.751
46377.0,11,77.2512460718602,100.21596223706771,57.66497114183771,47.140969162995596,50.98844309752126,5.0,0.0,2.0,C06,0.159
72001.0,24,36.89237441851157,34.599258262364444,38.644164698360235,48.43648449039882,45.06706985009602,21.0,0.0,2.0,C06,0.699
42115.0,18,48.73360137664747,44.40239069389648,33.51806593063769,56.27224513847967,47.49015997810564,9.0,0.0,2.0,C06,0.669
30193.0,34,72.05374206376305,43.00328933131973,77.75255968138025,84.21991701244814,56.51593163114581,4.0,0.0,2.0,C06,0.889
61235.0,9,33.40521608260642,29.44628421742861,28.575425222759137,47.768400604360025,46.630795239152334,23.0,0.0,2.0,C06,0.841
72249.0,10,34.38721317588877,33.58561277573204,35.32773377682103,56.48177339901478,47.226669912923924,24.0,0.0,2.0,C06,0.58
77146.0,22,44.31867130930508,40.65289531533646,51.137540015588314,52.876352902591016,44.746570127042226,16.0,0.0,2.0,C06,0.706
44541.0,30,88.75325181049269,86.8832445538495,144.93588272557858,55.47908232118758,48.741071847576144,4.0,0.0,2.0,C06,0.543
19990.0,12,37.961262631137856,45.391149497205234,54.97602536358919,56.8733986435569,61.61692724158886,9.0,0.0,3.0,C06,0.185
26269.0,42,49.55225424984925,47.18065731344459,62.03093055270826,52.54146806482364,45.00262234235688,6.0,0.0,3.0,C06,0.563
30373.0,53,45.31845799101658,44.86515781221688,53.95573640406848,57.62290502793296,54.89043356152361,8.0,0.0,3.0,C06,0.523
16778.0,28,27.414036833479607,26.164164120128415,19.561339240391497,54.70153496304719,62.5846349802239,13.0,0.0,3.0,C06,0.609
31359.0,49,73.47066194484606,58.61447472793299,101.13560789893225,64.4326923076923,54.02180074885398,4.0,0.0,3.0,C06,0.725
50939.0,25,41.092618060382556,44.92762794631644,42.05270628412451,58.7426326129666,53.9216021065191,14.0,0.0,3.0,C06,0.282
42514.0,9,43.064692281603406,46.76505897476601,41.61181900781051,54.51815642458101,58.95168760778517,11.0,0.0,3.0,C06,0.331
48407.0,21,34.22044881238687,29.953993703727892,39.09475925930171,58.45772266065389,56.39764904533056,18.0,0.0,3.0,C06,0.818
89846.0,17,41.50982535400522,36.683183875060664,38.11747148520841,58.88671397112797,50.76448771974142,20.0,0.0,3.0,C06,0.819
45806.0,39,33.64557107773064,33.313403991603366,37.718998706097096,46.687230514096186,49.56592728104276,18.0,0.0,3.0,C06,0.514
14684.0,41,31.846562574571806,33.34743870717234,27.583215348735248,56.41649196366178,51.312052117263846,7.0,0.0,3.0,C06,0.409
58930.0,13,48.64389906240081,36.48740502168639,44.802051426579986,45.69733534439417,55.10481616476167,12.0,0.0,3.0,C06,0.922
45748.0,32,44.92248375272919,53.73719787500824,34.595066395502585,49.4749430523918,54.11057780635679,11.0,0.0,3.0,C06,0.131
43746.0,8,109.43821494676175,134.1396243521082,35.801839280865465,66.20499108734403,54.99968855561678,3.0,0.0,3.0,C06,0.281
47073.0,36,44.45544043577912,36.13517252979821,44.5965671847229,53.27777777777778,47.633550560801524,11.0,0.0,3.0,C06,0.855
