Area_of_Cytoplasm,Label,Mean_Of_mean_nn_distances_simulated_1000,Mean_nn_distances_measured,Mean_nn_distances_simulated,Mean_protein_intensity_around_pbodies,Mean_protein_intensity_cytoplasm,Number_of_pbodies,SiteX,SiteY,Well,p-value_measured_lower_1000_sim
54289.0,27,37.617495682616074,38.27940044897796,27.384974797137613,58.514881865602945,46.71610429447853,17.0,0.0,0.0,D09,0.447
57163.0,28,43.56553086937648,49.33412714172205,57.67056120599687,51.01375176304654,51.53946890438826,14.0,0.0,0.0,D09,0.196
96966.0,14,40.707531602960415,42.70589224335303,38.201425768462556,54.185152057245084,42.76369816020857,22.0,0.0,0.0,D09,0.361
81982.0,35,62.35407211096568,64.99540676845314,67.21284533012462,47.18269653052262,45.72018486510859,10.0,0.0,0.0,D09,0.41
53229.0,9,47.6856817395684,33.166871435050105,51.662026374432614,48.56749311294766,44.43990642362803,11.0,0.0,0.0,D09,0.949
48701.0,12,44.65120729040976,47.592488634053375,25.468687473207435,44.715030408340574,45.18446996428648,11.0,0.0,0.0,D09,0.369
39019.0,31,47.60596112423109,49.598478339307775,48.24905714735699,66.41468005018821,52.68034504998388,9.0,0.0,0.0,D09,0.398
45829.0,32,74.6913918383564,66.11532351860733,81.14641702636843,63.859911894273125,52.91514661740938,5.0,0.0,0.0,D09,0.628
48002.0,15,55.03296876960116,45.67040041221551,58.55358919658906,62.43082021541011,46.681663597963826,8.0,0.0,0.0,D09,0.787
104304.0,13,49.30036703561434,49.95479936669833,58.34652326559718,52.24904423812124,43.04077187956795,17.0,0.0,0.0,D09,0.46
60571.0,36,64.51047478808974,61.14354516588818,57.29621402326573,44.71734475374733,44.50599822779633,7.0,0.0,0.0,D09,0.587
24925.0,10,54.29812661426263,46.87587004954991,31.383814478991788,63.55467869222097,60.79892670045572,5.0,0.0,0.0,D09,0.679
34531.0,33,66.24896020712993,59.762080423255796,38.429496499089076,61.13993871297242,49.284427205814985,5.0,0.0,0.0,D09,0.638
38860.0,17,29.307671887014788,29.571534214066908,26.048192573188455,62.29066575154427,48.828619909502265,19.0,0.0,0.0,D09,0.473
68688.0,8,41.8334154242397,43.59729665870748,45.20283449018359,52.41071902361369,46.45567887866209,17.0,0.0,0.0,D09,0.391
98406.0,19,39.380610856268426,42.39241157324724,39.47793583875029,53.0906781317178,47.38010947385948,24.0,0.0,0.0,D09,0.252
48207.0,20,38.92364451164984,29.00754209767147,33.69278151481857,61.56185012549301,50.58974857019532,14.0,0.0,0.0,D09,0.949
44294.0,37,40.01792453778737,34.88770999695022,37.12721329248432,54.71212121212121,50.93055948674403,13.0,0.0,0.0,D09,0.765
81250.0,29,83.29380076594938,86.47547591048908,101.21504337856044,41.396534148827726,48.487983320697495,6.0,0.0,0.0,D09,0.44
77582.0,24,42.29462222021182,42.20516251647334,44.02153880812355,57.69698692438886,52.210450899254084,18.0,0.0,0.0,D09,0.526
46258.0,22,45.71566331102626,44.51481588068407,54.914281862862,63.320454545454545,56.11134373381959,11.0,0.0,1.0,D09,0.542
