Area_of_Cytoplasm,Label,Mean_Of_mean_nn_distances_simulated_1000,Mean_nn_distances_measured,Mean_nn_distances_simulated,Mean_protein_intensity_around_pbodies,Mean_protein_intensity_cytoplasm,Number_of_pbodies,SiteX,SiteY,Well,p-value_measured_lower_1000_sim
54289.0,27,37.68787346357852,38.27940044897796,39.17508845718379,58.514881865602945,46.71610429447853,17.0,0.0,0.0,C07,0.447
57163.0,28,43.65096924750343,49.33412714172205,60.2926671108283,51.01375176304654,51.53946890438826,14.0,0.0,0.0,C07,0.2
96966.0,14,40.80609163540287,42.70589224335303,40.825479024073225,54.185152057245084,42.76369816020857,22.0,0.0,0.0,C07,0.364
81982.0,35,62.0569708242998,64.99540676845314,82.78520622355333,47.18269653052262,45.72018486510859,10.0,0.0,0.0,C07,0.402
53229.0,9,48.23359134522187,33.166871435050105,49.92105882347425,48.56749311294766,44.43990642362803,11.0,0.0,0.0,C07,0.95
48701.0,12,44.48375541953672,47.592488634053375,56.36606952420721,44.715030408340574,45.18446996428648,11.0,0.0,0.0,C07,0.367
39019.0,31,47.67757452810342,49.598478339307775,55.77388239274118,66.41468005018821,52.68034504998388,9.0,0.0,0.0,C07,0.415
45829.0,32,73.79544971176107,66.11532351860733,106.24448705497375,63.859911894273125,52.91514661740938,5.0,0.0,0.0,C07,0.631
48002.0,15,55.37994051144252,45.67040041221551,39.42520490353186,62.43082021541011,46.681663597963826,8.0,0.0,0.0,C07,0.788
104304.0,13,49.278986713397224,49.95479936669833,38.11445951353021,52.24904423812124,43.04077187956795,17.0,0.0,0.0,C07,0.467
60571.0,36,65.10383804190526,61.14354516588818,63.03188323361912,44.71734475374733,44.50599822779633,7.0,0.0,0.0,C07,0.605
24925.0,10,53.9660497886998,46.87587004954991,54.30683673644675,63.55467869222097,60.79892670045572,5.0,0.0,0.0,C07,0.668
34531.0,33,66.37887560198297,59.762080423255796,40.40455739614289,61.13993871297242,49.284427205814985,5.0,0.0,0.0,C07,0.63
38860.0,17,29.67523744457613,29.571534214066908,30.248459222197443,62.29066575154427,48.828619909502265,19.0,0.0,0.0,C07,0.506
68688.0,8,41.896827077032576,43.59729665870748,45.620334317852425,52.41071902361369,46.45567887866209,17.0,0.0,0.0,C07,0.39
98406.0,19,39.54994072682246,42.39241157324724,42.47267678377036,53.0906781317178,47.38010947385948,24.0,0.0,0.0,C07,0.263
48207.0,20,39.13586831514767,29.00754209767147,39.40796690180241,61.56185012549301,50.58974857019532,14.0,0.0,0.0,C07,0.95
44294.0,37,39.88756722790911,34.88770999695022,43.01327391318585,54.71212121212121,50.93055948674403,13.0,0.0,0.0,C07,0.768
81250.0,29,82.42963785784889,86.47547591048908,91.94424668208266,41.396534148827726,48.487983320697495,6.0,0.0,0.0,C07,0.425
77582.0,24,42.282217940224065,42.20516251647334,39.92968242544433,57.69698692438886,52.210450899254084,18.0,0.0,0.0,C07,0.511
46258.0,22,45.79353988127961,44.51481588068407,37.489490316051466,63.320454545454545,56.11134373381959,11.0,0.0,1.0,C07,0.552
39103.0,35,43.153930927696344,41.789195694754774,43.16752510664341,52.437361419068736,55.46722634807879,10.0,0.0,1.0,C07,0.581
44628.0,28,41.155098570558025,48.323796914207,41.36192422352054,62.86604127579737,61.04019448181453,13.0,0.0,1.0,C07,0.168
45329.0,6,44.1462122633735,39.15496963704857,39.93211626654786,61.3413612565445,48.97649956267551,11.0,0.0,1.0,C07,0.728
74728.0,19,38.13989527540313,45.17651216400624,29.169524072348974,50.17744497390515,48.92503946774921,21.0,0.0,1.0,C07,0.055
43297.0,17,41.36431633688057,31.52780854630139,40.126885442605534,72.13285457809695,55.18314557849442,12.0,0.0,1.0,C07,0.919
38330.0,13,29.185063169323325,28.2413106350478,30.024965216886976,57.13131313131313,48.07500340182338,18.0,0.0,1.0,C07,0.585
35476.0,16,43.86442899879437,47.15844871496831,37.18463573540551,67.03754469606675,51.35573040380047,10.0,0.0,1.0,C07,0.343
17416.0,25,79.76977868493512,99.38558548074543,52.14697607173061,57.40625,58.226568453136906,3.0,0.0,1.0,C07,0.257
58157.0,9,40.9777666854415,42.45759540153028,36.460885004464544,55.47240051347882,44.107570573139434,15.0,0.0,1.0,C07,0.396
83219.0,12,38.37751322924205,34.456310137067405,36.72579257576916,58.36831275720164,49.112034999744154,23.0,0.0,1.0,C07,0.802
54967.0,30,30.76992748896112,26.658272087811195,23.056434203710268,55.29396511079679,51.711862160371105,24.0,0.0,1.0,C07,0.859
27379.0,21,36.81978274439712,44.84876884351268,42.51438163179372,60.456112852664575,53.27890971304145,10.0,0.0,1.0,C07,0.13
34505.0,29,44.17581311162848,35.89603937642379,54.68063663662776,71.70028275212064,66.31996729155941,9.0,0.0,1.0,C07,0.826
41366.0,36,41.671334163544145,34.94229198300342,30.537686124864464,85.47659126775382,64.71823412648558,11.0,0.0,1.0,C07,0.83
19950.0,24,29.836573286381853,26.61406631039534,34.328833520814676,58.41291585127202,67.30736025353806,12.0,0.0,1.0,C07,0.73
19346.0,27,67.33702868611631,56.01110491313167,61.40483590288969,57.5821325648415,65.05360906967469,4.0,0.0,1.0,C07,0.7
46686.0,32,38.50556286451992,44.2527874527817,39.72192253006076,64.47364341085272,57.00720192051214,14.0,0.0,1.0,C07,0.186
59260.0,33,41.65523694563431,44.878844824584576,49.050644359408594,45.743964421855146,44.00818106967048,15.0,0.0,1.0,C07,0.308
46753.0,8,47.0586186284117,55.56384635519329,46.55976491764749,56.859078590785906,47.36345929972239,10.0,0.0,1.0,C07,0.178
38910.0,14,31.852818810781677,32.044097181768606,26.481771967378904,56.38967786629719,46.007932666451545,16.0,0.0,1.0,C07,0.482
29100.0,26,35.66400075552083,34.942233707299486,40.421854060075745,72.93662628145387,66.71658737024221,11.0,0.0,1.0,C07,0.538
54129.0,17,70.35807466960007,81.8069627612649,56.09437138271434,51.87835926449788,43.15270633397313,6.0,0.0,2.0,C07,0.267
35838.0,25,46.8437712013086,53.4286759207235,43.95771179274059,46.86946107784431,45.991080941219444,9.0,0.0,2.0,C07,0.252
54791.0,20,64.29052013528172,81.63418940746578,62.70583568757295,62.20949263502455,52.196614534025066,7.0,0.0,2.0,C07,0.124
57509.0,21,47.568317942381775,58.540263707605575,50.962657280019876,42.709377901578456,41.28637888131559,11.0,0.0,2.0,C07,0.111
33218.0,23,102.71338793165609,154.16909991580792,66.69691395530272,53.552742616033754,55.74886805688413,3.0,0.0,2.0,C07,0.103
42739.0,15,56.45264844284416,53.988332797522716,41.46325810169177,47.58767507002801,47.14449648137705,8.0,0.0,2.0,C07,0.558
65693.0,29,43.01984855103844,53.70077716692197,48.04709561855213,46.7137669197755,46.89561632627372,15.0,0.0,2.0,C07,0.045
