Area_of_Cytoplasm,Label,Number_of_pbodies_cytoplasm,Number_of_pbodies_in_Nucleus,Number_of_pbodies_unshrunken_Nucleus,Number_of_pbodies_unshrunken_cytoplasm,SiteX,SiteY,Well
49032.0,13,17.0,1.0,1.0,17.0,1.0,3.0,D14
72800.0,3,13.0,0.0,1.0,12.0,1.0,3.0,D14
61986.0,4,13.0,0.0,0.0,13.0,1.0,3.0,D14
59810.0,20,16.0,0.0,0.0,16.0,1.0,3.0,D14
70397.0,17,18.0,0.0,1.0,17.0,1.0,3.0,D14
60695.0,7,14.0,0.0,0.0,14.0,1.0,3.0,D14
52080.0,9,12.0,1.0,1.0,12.0,1.0,3.0,D14
56262.0,12,9.0,0.0,0.0,9.0,1.0,3.0,D14
48226.0,19,23.0,0.0,0.0,23.0,1.0,3.0,D14
17233.0,41,9.0,4.0,5.0,8.0,1.0,4.0,D14
61370.0,36,10.0,0.0,0.0,10.0,1.0,4.0,D14
43743.0,24,14.0,1.0,1.0,14.0,1.0,4.0,D14
46270.0,32,5.0,0.0,0.0,5.0,1.0,4.0,D14
14738.0,42,2.0,0.0,0.0,2.0,1.0,4.0,D14
41887.0,55,5.0,0.0,0.0,5.0,1.0,4.0,D14
16736.0,8,5.0,0.0,1.0,4.0,1.0,4.0,D14
16538.0,16,5.0,2.0,3.0,4.0,1.0,4.0,D14
40475.0,17,13.0,0.0,0.0,13.0,1.0,4.0,D14
46668.0,43,19.0,0.0,0.0,19.0,1.0,4.0,D14
36763.0,51,9.0,0.0,0.0,9.0,1.0,4.0,D14
36248.0,7,10.0,0.0,0.0,10.0,1.0,4.0,D14
54113.0,34,13.0,0.0,0.0,13.0,1.0,4.0,D14
22164.0,52,7.0,4.0,6.0,5.0,1.0,4.0,D14
67254.0,49,22.0,0.0,0.0,22.0,1.0,4.0,D14
30956.0,54,9.0,3.0,4.0,8.0,1.0,4.0,D14
56164.0,26,10.0,0.0,0.0,10.0,1.0,4.0,D14
49666.0,40,17.0,0.0,1.0,16.0,1.0,4.0,D14
44581.0,18,8.0,0.0,0.0,8.0,1.0,4.0,D14
64197.0,48,12.0,0.0,0.0,12.0,1.0,4.0,D14
22282.0,22,5.0,0.0,1.0,4.0,1.0,4.0,D14
80172.0,31,20.0,1.0,1.0,20.0,1.0,4.0,D14
18589.0,10,5.0,0.0,0.0,5.0,1.0,4.0,D14
74184.0,35,15.0,0.0,0.0,15.0,1.0,4.0,D14
70706.0,27,28.0,0.0,1.0,27.0,1.0,4.0,D14
14923.0,47,2.0,0.0,0.0,2.0,1.0,4.0,D14
33459.0,20,9.0,0.0,0.0,9.0,1.0,4.0,D14
35363.0,12,13.0,1.0,2.0,12.0,1.0,4.0,D14
56274.0,37,12.0,1.0,1.0,12.0,1.0,4.0,D14
27355.0,9,11.0,0.0,0.0,11.0,1.0,4.0,D14
35026.0,39,13.0,0.0,1.0,12.0,1.0,4.0,D14
57603.0,25,15.0,0.0,0.0,15.0,1.0,4.0,D14
19163.0,21,6.0,0.0,1.0,5.0,1.0,4.0,D14
24966.0,44,7.0,3.0,5.0,5.0,1.0,4.0,D14
46208.0,46,11.0,0.0,0.0,11.0,1.0,5.0,D14
50411.0,7,13.0,1.0,2.0,12.0,1.0,5.0,D14
49310.0,34,10.0,0.0,0.0,10.0,1.0,5.0,D14
24840.0,20,11.0,0.0,1.0,10.0,1.0,5.0,D14
40849.0,17,14.0,1.0,1.0,14.0,1.0,5.0,D14
27499.0,18,4.0,0.0,1.0,3.0,1.0,5.0,D14
22773.0,41,11.0,0.0,1.0,10.0,1.0,5.0,D14
41723.0,56,4.0,0.0,0.0,4.0,1.0,5.0,D14
46616.0,54,6.0,0.0,0.0,6.0,1.0,5.0,D14
41390.0,13,13.0,0.0,0.0,13.0,1.0,5.0,D14
46051.0,11,6.0,3.0,3.0,6.0,1.0,5.0,D14
36690.0,22,7.0,0.0,0.0,7.0,1.0,5.0,D14
73421.0,55,6.0,0.0,0.0,6.0,1.0,5.0,D14
5538.0,52,1.0,0.0,0.0,1.0,1.0,5.0,D14
62974.0,33,10.0,2.0,2.0,10.0,1.0,5.0,D14
40017.0,43,10.0,0.0,0.0,10.0,1.0,5.0,D14
