Area_of_Cytoplasm,Label,Number_of_pbodies_cytoplasm,Number_of_pbodies_in_Nucleus,Number_of_pbodies_unshrunken_Nucleus,Number_of_pbodies_unshrunken_cytoplasm,SiteX,SiteY,Well
56329.0,27,17.0,0.0,0.0,17.0,0.0,0.0,C15
59176.0,28,13.0,1.0,1.0,13.0,0.0,0.0,C15
99113.0,14,21.0,1.0,1.0,21.0,0.0,0.0,C15
84039.0,35,10.0,0.0,0.0,10.0,0.0,0.0,C15
55073.0,9,11.0,0.0,0.0,11.0,0.0,0.0,C15
50550.0,12,11.0,0.0,1.0,10.0,0.0,0.0,C15
40721.0,31,9.0,0.0,1.0,8.0,0.0,0.0,C15
47879.0,32,5.0,0.0,0.0,5.0,0.0,0.0,C15
49745.0,15,8.0,0.0,3.0,5.0,0.0,0.0,C15
106593.0,13,17.0,0.0,1.0,16.0,0.0,0.0,C15
16255.0,21,0.0,0.0,0.0,0.0,0.0,0.0,C15
17986.0,11,0.0,0.0,0.0,0.0,0.0,0.0,C15
62365.0,36,7.0,0.0,0.0,7.0,0.0,0.0,C15
26279.0,10,5.0,0.0,0.0,5.0,0.0,0.0,C15
36233.0,33,5.0,0.0,0.0,5.0,0.0,0.0,C15
40482.0,17,17.0,2.0,4.0,15.0,0.0,0.0,C15
70793.0,8,17.0,0.0,0.0,17.0,0.0,0.0,C15
100586.0,19,24.0,0.0,1.0,23.0,0.0,0.0,C15
49977.0,20,14.0,0.0,2.0,12.0,0.0,0.0,C15
46116.0,37,13.0,0.0,2.0,11.0,0.0,0.0,C15
83167.0,29,6.0,0.0,0.0,6.0,0.0,0.0,C15
80142.0,24,18.0,0.0,2.0,16.0,0.0,0.0,C15
48016.0,22,10.0,1.0,2.0,9.0,0.0,1.0,C15
40853.0,35,10.0,0.0,1.0,9.0,0.0,1.0,C15
46776.0,28,13.0,0.0,1.0,12.0,0.0,1.0,C15
47121.0,6,11.0,0.0,0.0,11.0,0.0,1.0,C15
77467.0,19,21.0,0.0,1.0,20.0,0.0,1.0,C15
45142.0,17,12.0,0.0,1.0,11.0,0.0,1.0,C15
39786.0,13,16.0,2.0,5.0,13.0,0.0,1.0,C15
37191.0,16,10.0,0.0,0.0,10.0,0.0,1.0,C15
19001.0,25,3.0,0.0,0.0,3.0,0.0,1.0,C15
37463.0,7,2.0,0.0,0.0,2.0,0.0,1.0,C15
60194.0,9,13.0,2.0,4.0,11.0,0.0,1.0,C15
86982.0,12,20.0,3.0,7.0,16.0,0.0,1.0,C15
57037.0,30,24.0,0.0,0.0,24.0,0.0,1.0,C15
28947.0,21,10.0,0.0,0.0,10.0,0.0,1.0,C15
35897.0,29,7.0,2.0,3.0,6.0,0.0,1.0,C15
42842.0,36,10.0,1.0,2.0,9.0,0.0,1.0,C15
21498.0,24,10.0,2.0,3.0,9.0,0.0,1.0,C15
21053.0,27,3.0,1.0,1.0,3.0,0.0,1.0,C15
48294.0,32,13.0,1.0,2.0,12.0,0.0,1.0,C15
61349.0,33,15.0,0.0,0.0,15.0,0.0,1.0,C15
48749.0,8,9.0,1.0,1.0,9.0,0.0,1.0,C15
40557.0,14,16.0,0.0,3.0,13.0,0.0,1.0,C15
30375.0,26,11.0,0.0,1.0,10.0,0.0,1.0,C15
56001.0,17,6.0,0.0,0.0,6.0,0.0,2.0,C15
38645.0,25,9.0,0.0,0.0,9.0,0.0,2.0,C15
56643.0,20,6.0,1.0,1.0,6.0,0.0,2.0,C15
37309.0,28,1.0,0.0,0.0,1.0,0.0,2.0,C15
59230.0,21,11.0,0.0,0.0,11.0,0.0,2.0,C15
