Area_of_Cytoplasm,Label,Number_of_pbodies_cytoplasm,Number_of_pbodies_in_Nucleus,Number_of_pbodies_unshrunken_Nucleus,Number_of_pbodies_unshrunken_cytoplasm,SiteX,SiteY,Well
56329.0,27,17.0,0.0,0.0,17.0,0.0,0.0,C11
59176.0,28,13.0,1.0,1.0,13.0,0.0,0.0,C11
99113.0,14,21.0,1.0,1.0,21.0,0.0,0.0,C11
84039.0,35,10.0,0.0,0.0,10.0,0.0,0.0,C11
55073.0,9,11.0,0.0,0.0,11.0,0.0,0.0,C11
50550.0,12,11.0,0.0,1.0,10.0,0.0,0.0,C11
40721.0,31,9.0,0.0,1.0,8.0,0.0,0.0,C11
47879.0,32,5.0,0.0,0.0,5.0,0.0,0.0,C11
49745.0,15,8.0,0.0,3.0,5.0,0.0,0.0,C11
106593.0,13,17.0,0.0,1.0,16.0,0.0,0.0,C11
16255.0,21,0.0,0.0,0.0,0.0,0.0,0.0,C11
17986.0,11,0.0,0.0,0.0,0.0,0.0,0.0,C11
62365.0,36,7.0,0.0,0.0,7.0,0.0,0.0,C11
26279.0,10,5.0,0.0,0.0,5.0,0.0,0.0,C11
36233.0,33,5.0,0.0,0.0,5.0,0.0,0.0,C11
40482.0,17,17.0,2.0,4.0,15.0,0.0,0.0,C11
70793.0,8,17.0,0.0,0.0,17.0,0.0,0.0,C11
100586.0,19,24.0,0.0,1.0,23.0,0.0,0.0,C11
49977.0,20,14.0,0.0,2.0,12.0,0.0,0.0,C11
46116.0,37,13.0,0.0,2.0,11.0,0.0,0.0,C11
83167.0,29,6.0,0.0,0.0,6.0,0.0,0.0,C11
80142.0,24,18.0,0.0,2.0,16.0,0.0,0.0,C11
48016.0,22,10.0,1.0,2.0,9.0,0.0,1.0,C11
40853.0,35,10.0,0.0,1.0,9.0,0.0,1.0,C11
46776.0,28,13.0,0.0,1.0,12.0,0.0,1.0,C11
47121.0,6,11.0,0.0,0.0,11.0,0.0,1.0,C11
77467.0,19,21.0,0.0,1.0,20.0,0.0,1.0,C11
45142.0,17,12.0,0.0,1.0,11.0,0.0,1.0,C11
39786.0,13,16.0,2.0,5.0,13.0,0.0,1.0,C11
37191.0,16,10.0,0.0,0.0,10.0,0.0,1.0,C11
19001.0,25,3.0,0.0,0.0,3.0,0.0,1.0,C11
37463.0,7,2.0,0.0,0.0,2.0,0.0,1.0,C11
60194.0,9,13.0,2.0,4.0,11.0,0.0,1.0,C11
86982.0,12,20.0,3.0,7.0,16.0,0.0,1.0,C11
57037.0,30,24.0,0.0,0.0,24.0,0.0,1.0,C11
28947.0,21,10.0,0.0,0.0,10.0,0.0,1.0,C11
35897.0,29,7.0,2.0,3.0,6.0,0.0,1.0,C11
42842.0,36,10.0,1.0,2.0,9.0,0.0,1.0,C11
21498.0,24,10.0,2.0,3.0,9.0,0.0,1.0,C11
21053.0,27,3.0,1.0,1.0,3.0,0.0,1.0,C11
48294.0,32,13.0,1.0,2.0,12.0,0.0,1.0,C11
61349.0,33,15.0,0.0,0.0,15.0,0.0,1.0,C11
