Area_of_Cytoplasm,Label,Number_of_pbodies_cytoplasm,Number_of_pbodies_in_Nucleus,Number_of_pbodies_unshrunken_Nucleus,Number_of_pbodies_unshrunken_cytoplasm,SiteX,SiteY,Well
56329.0,27,17.0,0.0,0.0,17.0,0.0,0.0,F08
59176.0,28,13.0,1.0,1.0,13.0,0.0,0.0,F08
99113.0,14,21.0,1.0,1.0,21.0,0.0,0.0,F08
84039.0,35,10.0,0.0,0.0,10.0,0.0,0.0,F08
55073.0,9,11.0,0.0,0.0,11.0,0.0,0.0,F08
50550.0,12,11.0,0.0,1.0,10.0,0.0,0.0,F08
40721.0,31,9.0,0.0,1.0,8.0,0.0,0.0,F08
47879.0,32,5.0,0.0,0.0,5.0,0.0,0.0,F08
49745.0,15,8.0,0.0,3.0,5.0,0.0,0.0,F08
106593.0,13,17.0,0.0,1.0,16.0,0.0,0.0,F08
16255.0,21,0.0,0.0,0.0,0.0,0.0,0.0,F08
17986.0,11,0.0,0.0,0.0,0.0,0.0,0.0,F08
62365.0,36,7.0,0.0,0.0,7.0,0.0,0.0,F08
26279.0,10,5.0,0.0,0.0,5.0,0.0,0.0,F08
36233.0,33,5.0,0.0,0.0,5.0,0.0,0.0,F08
40482.0,17,17.0,2.0,4.0,15.0,0.0,0.0,F08
70793.0,8,17.0,0.0,0.0,17.0,0.0,0.0,F08
100586.0,19,24.0,0.0,1.0,23.0,0.0,0.0,F08
49977.0,20,14.0,0.0,2.0,12.0,0.0,0.0,F08
46116.0,37,13.0,0.0,2.0,11.0,0.0,0.0,F08
83167.0,29,6.0,0.0,0.0,6.0,0.0,0.0,F08
80142.0,24,18.0,0.0,2.0,16.0,0.0,0.0,F08
48016.0,22,10.0,1.0,2.0,9.0,0.0,1.0,F08
40853.0,35,10.0,0.0,1.0,9.0,0.0,1.0,F08
46776.0,28,13.0,0.0,1.0,12.0,0.0,1.0,F08
47121.0,6,11.0,0.0,0.0,11.0,0.0,1.0,F08
77467.0,19,21.0,0.0,1.0,20.0,0.0,1.0,F08
45142.0,17,12.0,0.0,1.0,11.0,0.0,1.0,F08
39786.0,13,16.0,2.0,5.0,13.0,0.0,1.0,F08
37191.0,16,10.0,0.0,0.0,10.0,0.0,1.0,F08
19001.0,25,3.0,0.0,0.0,3.0,0.0,1.0,F08
37463.0,7,2.0,0.0,0.0,2.0,0.0,1.0,F08
60194.0,9,13.0,2.0,4.0,11.0,0.0,1.0,F08
86982.0,12,20.0,3.0,7.0,16.0,0.0,1.0,F08
57037.0,30,24.0,0.0,0.0,24.0,0.0,1.0,F08
28947.0,21,10.0,0.0,0.0,10.0,0.0,1.0,F08
35897.0,29,7.0,2.0,3.0,6.0,0.0,1.0,F08
42842.0,36,10.0,1.0,2.0,9.0,0.0,1.0,F08
21498.0,24,10.0,2.0,3.0,9.0,0.0,1.0,F08
21053.0,27,3.0,1.0,1.0,3.0,0.0,1.0,F08
48294.0,32,13.0,1.0,2.0,12.0,0.0,1.0,F08
61349.0,33,15.0,0.0,0.0,15.0,0.0,1.0,F08
48749.0,8,9.0,1.0,1.0,9.0,0.0,1.0,F08
40557.0,14,16.0,0.0,3.0,13.0,0.0,1.0,F08
30375.0,26,11.0,0.0,1.0,10.0,0.0,1.0,F08
56001.0,17,6.0,0.0,0.0,6.0,0.0,2.0,F08
38645.0,25,9.0,0.0,0.0,9.0,0.0,2.0,F08
56643.0,20,6.0,1.0,1.0,6.0,0.0,2.0,F08
37309.0,28,1.0,0.0,0.0,1.0,0.0,2.0,F08
59230.0,21,11.0,0.0,0.0,11.0,0.0,2.0,F08
34993.0,23,3.0,0.0,0.0,3.0,0.0,2.0,F08
44462.0,15,8.0,0.0,1.0,7.0,0.0,2.0,F08
67725.0,29,14.0,1.0,1.0,14.0,0.0,2.0,F08
53069.0,26,15.0,0.0,4.0,11.0,0.0,2.0,F08
29219.0,32,9.0,0.0,1.0,8.0,0.0,2.0,F08
45583.0,12,12.0,0.0,0.0,12.0,0.0,2.0,F08
75998.0,19,10.0,0.0,0.0,10.0,0.0,2.0,F08
48518.0,11,5.0,0.0,1.0,4.0,0.0,2.0,F08
74122.0,24,21.0,0.0,1.0,20.0,0.0,2.0,F08
43954.0,18,9.0,0.0,0.0,9.0,0.0,2.0,F08
31761.0,34,4.0,0.0,1.0,3.0,0.0,2.0,F08
63564.0,9,23.0,0.0,0.0,23.0,0.0,2.0,F08
74569.0,10,23.0,1.0,1.0,23.0,0.0,2.0,F08
79290.0,22,15.0,1.0,1.0,15.0,0.0,2.0,F08
46356.0,30,4.0,0.0,0.0,4.0,0.0,2.0,F08
21789.0,12,9.0,0.0,2.0,7.0,0.0,3.0,F08
27697.0,42,6.0,0.0,1.0,5.0,0.0,3.0,F08
32124.0,53,8.0,0.0,1.0,7.0,0.0,3.0,F08
18560.0,28,10.0,3.0,3.0,10.0,0.0,3.0,F08
33114.0,49,3.0,1.0,1.0,3.0,0.0,3.0,F08
53087.0,25,14.0,0.0,0.0,14.0,0.0,3.0,F08
44367.0,9,10.0,1.0,1.0,10.0,0.0,3.0,F08
50536.0,21,18.0,0.0,0.0,18.0,0.0,3.0,F08
92340.0,17,20.0,0.0,1.0,19.0,0.0,3.0,F08
47786.0,39,17.0,1.0,2.0,16.0,0.0,3.0,F08
15523.0,41,7.0,0.0,0.0,7.0,0.0,3.0,F08
61258.0,13,12.0,0.0,1.0,11.0,0.0,3.0,F08
47862.0,32,11.0,0.0,0.0,11.0,0.0,3.0,F08
45664.0,8,3.0,0.0,0.0,3.0,0.0,3.0,F08
48940.0,36,10.0,1.0,1.0,10.0,0.0,3.0,F08
37136.0,54,5.0,2.0,4.0,3.0,0.0,3.0,F08
55208.0,48,5.0,0.0,0.0,5.0,0.0,3.0,F08
38819.0,56,10.0,0.0,0.0,10.0,0.0,3.0,F08
35245.0,33,18.0,3.0,7.0,14.0,0.0,3.0,F08
42547.0,30,12.0,0.0,0.0,12.0,0.0,3.0,F08
56158.0,51,11.0,0.0,0.0,11.0,0.0,3.0,F08
55394.0,26,28.0,1.0,4.0,25.0,0.0,3.0,F08
47476.0,27,13.0,0.0,1.0,12.0,0.0,3.0,F08
51960.0,40,12.0,0.0,0.0,12.0,0.0,3.0,F08
30064.0,47,8.0,0.0,0.0,8.0,0.0,3.0,F08
32610.0,11,13.0,0.0,1.0,12.0,0.0,3.0,F08
43921.0,35,9.0,0.0,0.0,9.0,0.0,3.0,F08
58540.0,23,12.0,1.0,2.0,11.0,0.0,3.0,F08
34333.0,19,12.0,2.0,4.0,10.0,0.0,3.0,F08
41430.0,43,9.0,0.0,0.0,9.0,0.0,3.0,F08
43759.0,22,13.0,0.0,0.0,13.0,0.0,3.0,F08
51614.0,16,12.0,0.0,0.0,12.0,0.0,3.0,F08
34662.0,14,10.0,0.0,0.0,10.0,0.0,3.0,F08
31131.0,52,7.0,0.0,0.0,7.0,0.0,3.0,F08
