Area_of_Cytoplasm,Label,Mean_protein_intensity_around_pbodies,Mean_protein_intensity_around_simulated_pbodies,Mean_protein_intensity_cytoplasm,Number_of_pbodies,SiteX,SiteY,Well
52160.0,27,58.514881865602945,52.979809850545635,46.71610429447853,17.0,0.0,0.0,C09
55056.0,28,51.01375176304654,58.7999200364443,51.53946890438826,14.0,0.0,0.0,C09
94739.0,14,54.185152057245084,50.49302705716898,42.76369816020857,22.0,0.0,0.0,C09
79842.0,35,47.18269653052262,54.6594401184406,45.72018486510859,10.0,0.0,0.0,C09
51296.0,9,48.56749311294766,51.981843758650705,44.43990642362803,11.0,0.0,0.0,C09
46761.0,12,44.715030408340574,51.181815045918555,45.18446996428648,11.0,0.0,0.0,C09
37212.0,31,66.41468005018821,63.80582783511177,52.68034504998388,9.0,0.0,0.0,C09
43310.0,32,63.859911894273125,61.26184622857762,52.91514661740938,5.0,0.0,0.0,C09
46165.0,15,62.43082021541011,54.689315983334126,46.681663597963826,8.0,0.0,0.0,C09
101933.0,13,52.24904423812124,52.18049416230162,43.04077187956795,17.0,0.0,0.0,C09
58684.0,36,44.71734475374733,52.50476823271024,44.50599822779633,7.0,0.0,0.0,C09
23479.0,10,63.55467869222097,77.20107323491186,60.79892670045572,5.0,0.0,0.0,C09
32743.0,33,61.13993871297242,59.30541875193859,49.284427205814985,5.0,0.0,0.0,C09
37128.0,17,62.29066575154427,57.206769256364105,48.828619909502265,19.0,0.0,0.0,C09
66492.0,8,52.41071902361369,52.01240082273697,46.45567887866209,17.0,0.0,0.0,C09
96096.0,19,53.0906781317178,55.05003635245044,47.38010947385948,24.0,0.0,0.0,C09
46335.0,20,61.56185012549301,57.943570856389606,50.58974857019532,14.0,0.0,0.0,C09
42396.0,37,54.71212121212121,60.05045309079051,50.93055948674403,13.0,0.0,0.0,C09
79150.0,29,41.396534148827726,56.86623270566639,48.487983320697495,6.0,0.0,0.0,C09
74673.0,24,57.69698692438886,59.04882141955647,52.210450899254084,18.0,0.0,0.0,C09
44421.0,22,63.320454545454545,64.39962685531962,56.11134373381959,11.0,0.0,1.0,C09
37164.0,35,52.437361419068736,60.09407833720159,55.46722634807879,10.0,0.0,1.0,C09
42371.0,28,62.86604127579737,65.60258219191803,61.04019448181453,13.0,0.0,1.0,C09
43446.0,6,61.3413612565445,58.90333674913387,48.97649956267551,11.0,0.0,1.0,C09
70945.0,19,50.17744497390515,54.39596009055495,48.92503946774921,21.0,0.0,1.0,C09
41366.0,17,72.13285457809695,62.05653589182314,55.18314557849442,12.0,0.0,1.0,C09
36746.0,13,57.13131313131313,57.42443827296312,48.07500340182338,18.0,0.0,1.0,C09
33680.0,16,67.03754469606675,59.155906610233224,51.35573040380047,10.0,0.0,1.0,C09
15748.0,25,57.40625,66.25785730124863,58.226568453136906,3.0,0.0,1.0,C09
