Area_of_Cytoplasm,Label,Mean_protein_intensity_around_pbodies,Mean_protein_intensity_around_simulated_pbodies,Mean_protein_intensity_cytoplasm,Number_of_pbodies,SiteX,SiteY,Well
52160.0,27,58.514881865602945,53.26937990439741,46.71610429447853,17.0,0.0,0.0,D09
55056.0,28,51.01375176304654,59.02855339770481,51.53946890438826,14.0,0.0,0.0,D09
94739.0,14,54.185152057245084,50.370689978160534,42.76369816020857,22.0,0.0,0.0,D09
79842.0,35,47.18269653052262,52.93835170704754,45.72018486510859,10.0,0.0,0.0,D09
51296.0,9,48.56749311294766,52.73835591932877,44.43990642362803,11.0,0.0,0.0,D09
46761.0,12,44.715030408340574,51.37093040857173,45.18446996428648,11.0,0.0,0.0,D09
37212.0,31,66.41468005018821,63.15545045787474,52.68034504998388,9.0,0.0,0.0,D09
43310.0,32,63.859911894273125,62.0814758387729,52.91514661740938,5.0,0.0,0.0,D09
46165.0,15,62.43082021541011,55.07155204551424,46.681663597963826,8.0,0.0,0.0,D09
101933.0,13,52.24904423812124,52.45843668111831,43.04077187956795,17.0,0.0,0.0,D09
58684.0,36,44.71734475374733,53.261275943227105,44.50599822779633,7.0,0.0,0.0,D09
23479.0,10,63.55467869222097,78.74396100733642,60.79892670045572,5.0,0.0,0.0,D09
32743.0,33,61.13993871297242,57.02465653803318,49.284427205814985,5.0,0.0,0.0,D09
37128.0,17,62.29066575154427,57.23684432960219,48.828619909502265,19.0,0.0,0.0,D09
66492.0,8,52.41071902361369,52.15966440685211,46.45567887866209,17.0,0.0,0.0,D09
96096.0,19,53.0906781317178,54.78891633956872,47.38010947385948,24.0,0.0,0.0,D09
46335.0,20,61.56185012549301,57.75317037336388,50.58974857019532,14.0,0.0,0.0,D09
42396.0,37,54.71212121212121,59.63233168348389,50.93055948674403,13.0,0.0,0.0,D09
79150.0,29,41.396534148827726,56.08241097065872,48.487983320697495,6.0,0.0,0.0,D09
74673.0,24,57.69698692438886,58.773177874460615,52.210450899254084,18.0,0.0,0.0,D09
44421.0,22,63.320454545454545,62.79894494990144,56.11134373381959,11.0,0.0,1.0,D09
37164.0,35,52.437361419068736,61.0378219486279,55.46722634807879,10.0,0.0,1.0,D09
42371.0,28,62.86604127579737,65.55163831478175,61.04019448181453,13.0,0.0,1.0,D09
43446.0,6,61.3413612565445,59.179060812945366,48.97649956267551,11.0,0.0,1.0,D09
70945.0,19,50.17744497390515,54.330213105124336,48.92503946774921,21.0,0.0,1.0,D09
41366.0,17,72.13285457809695,61.68133488137546,55.18314557849442,12.0,0.0,1.0,D09
36746.0,13,57.13131313131313,58.04520276293403,48.07500340182338,18.0,0.0,1.0,D09
33680.0,16,67.03754469606675,59.17216729266333,51.35573040380047,10.0,0.0,1.0,D09
15748.0,25,57.40625,65.75504987009165,58.226568453136906,3.0,0.0,1.0,D09
56112.0,9,55.47240051347882,52.44734823730003,44.107570573139434,15.0,0.0,1.0,D09
78179.0,12,58.36831275720164,58.13313016780665,49.112034999744154,23.0,0.0,1.0,D09
52815.0,30,55.29396511079679,55.81344730230771,51.711862160371105,24.0,0.0,1.0,D09
25718.0,21,60.456112852664575,62.78925014511232,53.27890971304145,10.0,0.0,1.0,D09
33019.0,29,71.70028275212064,74.05317078096617,66.31996729155941,9.0,0.0,1.0,D09
39799.0,36,85.47659126775382,76.42466072369564,64.71823412648558,11.0,0.0,1.0,D09
18301.0,24,58.41291585127202,72.54634418527503,67.30736025353806,12.0,0.0,1.0,D09
17553.0,27,57.5821325648415,68.27756165504717,65.05360906967469,4.0,0.0,1.0,D09
44988.0,32,64.47364341085272,63.951266690723635,57.00720192051214,14.0,0.0,1.0,D09
57083.0,33,45.743964421855146,49.43541317244026,44.00818106967048,15.0,0.0,1.0,D09
44668.0,8,56.859078590785906,53.776456732227864,47.36345929972239,10.0,0.0,1.0,D09
37188.0,14,56.38967786629719,55.67871534523945,46.007932666451545,16.0,0.0,1.0,D09
27748.0,26,72.93662628145387,73.21576546907896,66.71658737024221,11.0,0.0,1.0,D09
52100.0,17,51.87835926449788,48.95577467100517,43.15270633397313,6.0,0.0,2.0,D09
32904.0,25,46.86946107784431,50.03060886612671,45.991080941219444,9.0,0.0,2.0,D09
52814.0,20,62.20949263502455,56.488329002814034,52.196614534025066,7.0,0.0,2.0,D09
55472.0,21,42.709377901578456,45.08737576679144,41.28637888131559,11.0,0.0,2.0,D09
31362.0,23,53.552742616033754,61.776922188343306,55.74886805688413,3.0,0.0,2.0,D09
40783.0,15,47.58767507002801,54.671921608797575,47.14449648137705,8.0,0.0,2.0,D09
63554.0,29,46.7137669197755,54.33180134299536,46.89561632627372,15.0,0.0,2.0,D09
47724.0,26,52.62020766773163,57.08482334538403,49.27172910904367,15.0,0.0,2.0,D09
25580.0,32,55.26622989874925,65.67426476105192,53.69324002033077,9.0,0.0,2.0,D09
41957.0,12,47.17601380500432,54.62725677942343,48.18317244666905,12.0,0.0,2.0,D09
