Area_of_Cytoplasm,Label,Mean_protein_intensity_around_pbodies,Mean_protein_intensity_around_simulated_pbodies,Mean_protein_intensity_cytoplasm,Number_of_pbodies,SiteX,SiteY,Well
52160.0,27,58.514881865602945,53.90055277754106,46.71610429447853,17.0,0.0,0.0,E07
55056.0,28,51.01375176304654,59.18390897217007,51.53946890438826,14.0,0.0,0.0,E07
94739.0,14,54.185152057245084,50.318339217639085,42.76369816020857,22.0,0.0,0.0,E07
79842.0,35,47.18269653052262,53.41021246522343,45.72018486510859,10.0,0.0,0.0,E07
51296.0,9,48.56749311294766,52.28758428402983,44.43990642362803,11.0,0.0,0.0,E07
46761.0,12,44.715030408340574,51.197618198970524,45.18446996428648,11.0,0.0,0.0,E07
37212.0,31,66.41468005018821,62.778443535162836,52.68034504998388,9.0,0.0,0.0,E07
43310.0,32,63.859911894273125,60.33924443101916,52.91514661740938,5.0,0.0,0.0,E07
46165.0,15,62.43082021541011,54.40400488134701,46.681663597963826,8.0,0.0,0.0,E07
101933.0,13,52.24904423812124,52.275968414322215,43.04077187956795,17.0,0.0,0.0,E07
58684.0,36,44.71734475374733,52.39456054091851,44.50599822779633,7.0,0.0,0.0,E07
23479.0,10,63.55467869222097,74.74124741404452,60.79892670045572,5.0,0.0,0.0,E07
32743.0,33,61.13993871297242,59.17875419139152,49.284427205814985,5.0,0.0,0.0,E07
37128.0,17,62.29066575154427,57.50360934613391,48.828619909502265,19.0,0.0,0.0,E07
66492.0,8,52.41071902361369,53.16744921786292,46.45567887866209,17.0,0.0,0.0,E07
96096.0,19,53.0906781317178,54.969821189826206,47.38010947385948,24.0,0.0,0.0,E07
46335.0,20,61.56185012549301,57.82009493021582,50.58974857019532,14.0,0.0,0.0,E07
42396.0,37,54.71212121212121,59.96693900348327,50.93055948674403,13.0,0.0,0.0,E07
79150.0,29,41.396534148827726,56.02278646236213,48.487983320697495,6.0,0.0,0.0,E07
74673.0,24,57.69698692438886,57.95820856050736,52.210450899254084,18.0,0.0,0.0,E07
44421.0,22,63.320454545454545,64.30149675383322,56.11134373381959,11.0,0.0,1.0,E07
37164.0,35,52.437361419068736,59.99204618577284,55.46722634807879,10.0,0.0,1.0,E07
42371.0,28,62.86604127579737,66.11639045622407,61.04019448181453,13.0,0.0,1.0,E07
43446.0,6,61.3413612565445,60.259822650068365,48.97649956267551,11.0,0.0,1.0,E07
70945.0,19,50.17744497390515,54.288483107177996,48.92503946774921,21.0,0.0,1.0,E07
41366.0,17,72.13285457809695,61.92836684777787,55.18314557849442,12.0,0.0,1.0,E07
36746.0,13,57.13131313131313,57.53696982839492,48.07500340182338,18.0,0.0,1.0,E07
33680.0,16,67.03754469606675,59.595649495852186,51.35573040380047,10.0,0.0,1.0,E07
15748.0,25,57.40625,62.04792556169357,58.226568453136906,3.0,0.0,1.0,E07
56112.0,9,55.47240051347882,51.34556454150222,44.107570573139434,15.0,0.0,1.0,E07
78179.0,12,58.36831275720164,58.284848473949715,49.112034999744154,23.0,0.0,1.0,E07
52815.0,30,55.29396511079679,55.692836749537136,51.711862160371105,24.0,0.0,1.0,E07
25718.0,21,60.456112852664575,62.35518008455291,53.27890971304145,10.0,0.0,1.0,E07
33019.0,29,71.70028275212064,75.84600449647165,66.31996729155941,9.0,0.0,1.0,E07
39799.0,36,85.47659126775382,75.82823246431978,64.71823412648558,11.0,0.0,1.0,E07
18301.0,24,58.41291585127202,71.51851086041147,67.30736025353806,12.0,0.0,1.0,E07
17553.0,27,57.5821325648415,69.91638106756577,65.05360906967469,4.0,0.0,1.0,E07
44988.0,32,64.47364341085272,63.83314171404766,57.00720192051214,14.0,0.0,1.0,E07
57083.0,33,45.743964421855146,48.98929220677427,44.00818106967048,15.0,0.0,1.0,E07
44668.0,8,56.859078590785906,53.33411498447053,47.36345929972239,10.0,0.0,1.0,E07
37188.0,14,56.38967786629719,56.02955589849089,46.007932666451545,16.0,0.0,1.0,E07
27748.0,26,72.93662628145387,73.65780450135348,66.71658737024221,11.0,0.0,1.0,E07
52100.0,17,51.87835926449788,49.16173014368112,43.15270633397313,6.0,0.0,2.0,E07
32904.0,25,46.86946107784431,50.2011302293597,45.991080941219444,9.0,0.0,2.0,E07
52814.0,20,62.20949263502455,57.74391848607317,52.196614534025066,7.0,0.0,2.0,E07
55472.0,21,42.709377901578456,45.5993780180719,41.28637888131559,11.0,0.0,2.0,E07
31362.0,23,53.552742616033754,61.276733605583985,55.74886805688413,3.0,0.0,2.0,E07
40783.0,15,47.58767507002801,54.206976075849404,47.14449648137705,8.0,0.0,2.0,E07
63554.0,29,46.7137669197755,54.1395560087813,46.89561632627372,15.0,0.0,2.0,E07
47724.0,26,52.62020766773163,57.735812613628816,49.27172910904367,15.0,0.0,2.0,E07
25580.0,32,55.26622989874925,64.69940404985023,53.69324002033077,9.0,0.0,2.0,E07
41957.0,12,47.17601380500432,54.20925835555678,48.18317244666905,12.0,0.0,2.0,E07
71691.0,19,49.14572864321608,50.15295366136715,43.50410825137755,10.0,0.0,2.0,E07
44216.0,11,47.140969162995596,58.220015426623505,50.98844309752126,5.0,0.0,2.0,E07
69778.0,24,48.43648449039882,52.73283661523575,45.06706985009602,21.0,0.0,2.0,E07
40193.0,18,56.27224513847967,57.43243579675715,47.49015997810564,9.0,0.0,2.0,E07
28434.0,34,84.21991701244814,65.66339071527004,56.51593163114581,4.0,0.0,2.0,E07
58566.0,9,47.768400604360025,52.37676668832846,46.630795239152334,23.0,0.0,2.0,E07
69824.0,10,56.48177339901478,54.196173605948964,47.226669912923924,24.0,0.0,2.0,E07
74857.0,22,52.876352902591016,53.352177115071974,44.746570127042226,16.0,0.0,2.0,E07
42618.0,30,55.47908232118758,53.119841703926866,48.741071847576144,4.0,0.0,2.0,E07
18101.0,12,56.8733986435569,68.54250919986156,61.61692724158886,9.0,0.0,3.0,E07
24849.0,42,52.54146806482364,52.15761017345627,45.00262234235688,6.0,0.0,3.0,E07
28485.0,53,57.62290502793296,65.67014718117726,54.89043356152361,8.0,0.0,3.0,E07
14917.0,28,54.70153496304719,67.59811887425876,62.5846349802239,13.0,0.0,3.0,E07
28577.0,49,64.4326923076923,65.21817433323515,54.02180074885398,4.0,0.0,3.0,E07
48630.0,25,58.7426326129666,59.490063384406824,53.9216021065191,14.0,0.0,3.0,E07
40609.0,9,54.51815642458101,66.364966803707,58.95168760778517,11.0,0.0,3.0,E07
