Area_of_Cytoplasm,Label,Mean_protein_intensity_around_pbodies,Mean_protein_intensity_around_simulated_pbodies,Mean_protein_intensity_cytoplasm,Number_of_pbodies,SiteX,SiteY,Well
52160.0,27,58.514881865602945,53.03134906813853,46.71610429447853,17.0,0.0,0.0,D07
55056.0,28,51.01375176304654,58.74357391306872,51.53946890438826,14.0,0.0,0.0,D07
94739.0,14,54.185152057245084,50.26382018712687,42.76369816020857,22.0,0.0,0.0,D07
79842.0,35,47.18269653052262,54.08302464633095,45.72018486510859,10.0,0.0,0.0,D07
51296.0,9,48.56749311294766,52.04921567253644,44.43990642362803,11.0,0.0,0.0,D07
46761.0,12,44.715030408340574,51.33287805805857,45.18446996428648,11.0,0.0,0.0,D07
37212.0,31,66.41468005018821,64.54170261074015,52.68034504998388,9.0,0.0,0.0,D07
43310.0,32,63.859911894273125,59.976501880494155,52.91514661740938,5.0,0.0,0.0,D07
46165.0,15,62.43082021541011,53.27748454571009,46.681663597963826,8.0,0.0,0.0,D07
101933.0,13,52.24904423812124,52.78680575299229,43.04077187956795,17.0,0.0,0.0,D07
58684.0,36,44.71734475374733,50.61574028823373,44.50599822779633,7.0,0.0,0.0,D07
23479.0,10,63.55467869222097,77.89227966229659,60.79892670045572,5.0,0.0,0.0,D07
32743.0,33,61.13993871297242,59.21698350620258,49.284427205814985,5.0,0.0,0.0,D07
37128.0,17,62.29066575154427,57.820844046535015,48.828619909502265,19.0,0.0,0.0,D07
66492.0,8,52.41071902361369,52.09879514949165,46.45567887866209,17.0,0.0,0.0,D07
96096.0,19,53.0906781317178,55.02788702369736,47.38010947385948,24.0,0.0,0.0,D07
46335.0,20,61.56185012549301,57.78159949940504,50.58974857019532,14.0,0.0,0.0,D07
42396.0,37,54.71212121212121,59.94780845890944,50.93055948674403,13.0,0.0,0.0,D07
79150.0,29,41.396534148827726,55.785844214723504,48.487983320697495,6.0,0.0,0.0,D07
