Area,X,Y
18,332.889,208.778
46,411.783,217.283
16,304.625,222.812
58,437.741,227.776
55,361.827,227.991
74,454.041,262.811
62,496.161,289.774
29,251.983,290.259
64,236.312,297.156
40,325.175,297.525
60,138.600,319.483
34,442.765,335.500
7,378.071,345.786
63,112.405,350.802
27,483.019,349.611
18,297.778,356.389
11,351.409,371.136
43,477.314,374.337
52,466.000,382.000
52,194.481,391.058
4,117.750,390.500
21,221.167,402.643
37,238.203,417.122
37,333.500,420.500
73,272.226,423.295
14,296.214,422.000
41,164.012,426.232
