Area,X,Y
44,355.409,159.114
70,333.343,186.871
18,219.389,194.222
68,276.250,196.926
25,171.100,201.980
27,386.574,210.685
24,414.083,232.792
22,439.409,236.409
29,342.017,242.397
68,418.838,244.162
54,440.185,247.759
30,389.133,258.867
75,234.580,261.940
32,475.969,267.062
45,216.678,289.100
24,374.000,295.000
55,249.173,327.918
51,443.265,348.971
54,475.185,349.167
50,511.000,355.700
70,478.500,378.943
11,301.500,384.591
61,428.385,419.844
13,474.115,426.885
6,431.167,428.833
47,408.500,446.011
