Area,X,Y
93,350.102,166.199
65,283.315,181.623
4,337.000,190.000
42,233.310,207.452
62,314.855,218.097
48,261.396,224.979
8,299.000,226.000
64,240.469,230.438
45,227.567,250.367
37,252.311,279.311
2,260.500,295.000
37,209.338,328.581
45,432.167,331.211
26,402.846,351.846
12,259.417,363.167
40,187.675,370.850
22,191.364,392.818
50,220.140,402.960
51,242.186,407.069
39,278.397,420.782
23,401.326,428.500
56,446.000,433.125
31,383.403,443.565
74,355.716,448.838
60,286.217,451.517
47,277.074,472.883
71,317.373,498.923
