Area,X,Y
49,261.255,121.071
55,360.373,129.045
87,276.086,143.891
43,326.453,160.756
52,228.250,174.885
78,273.487,177.462
62,398.000,181.661
122,361.557,196.385
43,196.849,197.709
53,188.085,202.406
84,207.917,208.976
30,327.867,222.033
51,243.990,227.814
23,268.500,234.326
60,365.833,245.467
39,412.654,251.603
17,268.147,266.971
48,232.000,302.333
43,448.942,318.616
34,304.941,319.235
57,197.851,329.886
15,312.967,336.633
79,284.424,340.589
76,471.658,369.816
51,235.049,369.127
37,287.635,378.365
12,508.167,387.583
74,475.378,405.257
58,252.086,405.690
12,296.000,408.000
15,269.967,416.367
75,314.220,430.167
76,380.816,460.513
69,299.688,478.196
61,321.500,479.533
80,377.337,490.675
