Area,X,Y
11,339.318,154.682
32,321.594,166.188
38,350.711,178.658
43,371.453,183.756
22,279.227,185.864
65,259.654,199.192
34,238.588,206.706
37,402.959,214.581
53,218.425,244.594
45,441.567,254.456
50,407.960,269.600
62,439.242,274.435
59,431.415,292.432
73,216.938,298.267
39,418.321,321.910
20,364.250,333.250
2,441.000,332.500
25,364.020,343.700
30,431.867,344.333
82,292.476,363.561
18,350.556,366.278
39,339.372,369.628
25,390.900,373.260
55,322.427,385.155
46,313.500,392.196
54,272.000,402.000
82,409.378,408.902
83,373.825,409.392
68,431.162,420.338
61,368.975,430.451
80,348.775,440.587
44,407.500,483.000
