Area_of_Cytoplasm,Label,Mean_Of_mean_nn_distances_simulated_10,Mean_Of_mean_nn_distances_simulated_100,Mean_Of_mean_nn_distances_simulated_1000,Mean_nn_distances_measured,Mean_nn_distances_simulated,Number_of_pbodies,SiteX,SiteY,Well,p-value_measured_lower_1000_sim
52160.0,27,35.49497949365684,35.50832739940004,35.56692772824556,38.27940044897796,34.59451910687684,17.0,0.0,0.0,D14,0.304
55056.0,28,40.42763553842873,43.27310527950292,42.433792579017464,49.33412714172205,63.483025742587415,14.0,0.0,0.0,D14,0.185
94739.0,14,37.875601680089204,39.323829897285094,38.61711602548644,42.70589224335303,36.27148430879706,22.0,0.0,0.0,D14,0.195
79842.0,35,61.898196554345574,58.72908741737336,59.611140544973665,64.99540676845314,61.26632007429352,10.0,0.0,0.0,D14,0.321
51296.0,9,50.50243225863395,46.02279621538559,45.979300617876994,33.166871435050105,50.517262053407926,11.0,0.0,0.0,D14,0.928
46761.0,12,40.70123962416326,42.31233397876937,42.86272113838164,47.592488634053375,41.318202350268756,11.0,0.0,0.0,D14,0.272
37212.0,31,44.74099947700792,46.09846578132556,46.06735312555591,49.598478339307775,29.65171806421633,9.0,0.0,0.0,D14,0.372
43310.0,32,63.810905212827336,70.67490853935224,73.40642532591015,66.11532351860733,65.06778741221125,5.0,0.0,0.0,D14,0.623
46165.0,15,55.66003765911405,54.516373808042296,53.929579716976484,45.67040041221551,51.95186067824201,8.0,0.0,0.0,D14,0.746
101933.0,13,47.63749410648889,46.917031744715445,47.07235307668478,49.95479936669833,51.23744471515894,17.0,0.0,0.0,D14,0.346
58684.0,36,64.86356559120709,63.229284783181605,64.15141454532328,61.14354516588818,51.42383636498643,7.0,0.0,0.0,D14,0.569
23479.0,10,46.43566028680331,50.888497201648946,52.60418620147236,46.87587004954991,66.6265217732569,5.0,0.0,0.0,D14,0.643
32743.0,33,66.64298368060021,66.72734917198356,65.8288780041786,59.762080423255796,87.57523514827216,5.0,0.0,0.0,D14,0.637
37128.0,17,29.534924082132086,28.22014641059812,27.161456360614473,29.571534214066908,22.23413114820868,19.0,0.0,0.0,D14,0.255
66492.0,8,38.45812032590946,40.569464701695125,39.71609586849554,43.59729665870748,40.42365664044446,17.0,0.0,0.0,D14,0.285
96096.0,19,37.3559418638733,36.55534216304462,37.24499158177433,42.39241157324724,41.28351018156454,24.0,0.0,0.0,D14,0.135
46335.0,20,38.54023474280057,37.4314255281475,37.200050605361554,29.00754209767147,38.13509972505367,14.0,0.0,0.0,D14,0.887
42396.0,37,38.55498663912199,37.99524900685831,37.94553596529581,34.88770999695022,40.86266659094393,13.0,0.0,0.0,D14,0.648
79150.0,29,74.48368024291696,84.92198453768668,81.97526590748812,86.47547591048908,59.41331547959339,6.0,0.0,0.0,D14,0.418
74673.0,24,39.55306810196214,41.501955907428226,40.299285080440924,42.20516251647334,29.878553823134652,18.0,0.0,0.0,D14,0.361
44421.0,22,45.067267527205175,44.61168654289335,43.88361202947302,44.51481588068407,47.281872529113656,11.0,0.0,1.0,D14,0.476
37164.0,35,47.78641292431151,40.08932485150475,40.91174909780504,41.789195694754774,41.55926839325216,10.0,0.0,1.0,D14,0.467
42371.0,28,39.88160505573556,38.27242155276549,37.820310184509886,48.323796914207,45.93203562540573,13.0,0.0,1.0,D14,0.067
43446.0,6,43.42398699311129,43.185830628109876,42.2450427510692,39.15496963704857,40.40731307410672,11.0,0.0,1.0,D14,0.651
70945.0,19,38.18849637977949,34.97472919526413,35.687637904166635,45.17651216400624,33.553995823108096,21.0,0.0,1.0,D14,0.019
41366.0,17,38.45723227506271,38.19016803464299,39.30764742327322,31.52780854630139,41.8828672517393,12.0,0.0,1.0,D14,0.854
36746.0,13,27.621336515950976,27.28411207616312,27.56395880996331,28.2413106350478,33.732908712743146,18.0,0.0,1.0,D14,0.432
33680.0,16,37.19426798988281,42.75545357317217,42.09984097076318,47.15844871496831,38.71068809550842,10.0,0.0,1.0,D14,0.271
15748.0,25,95.14237142844178,76.48973675582823,82.46731497576522,99.38558548074543,71.31749628411922,3.0,0.0,1.0,D14,0.3
56112.0,9,39.681174647843854,39.68845577714096,39.052129955730244,42.45759540153028,49.06287470353684,15.0,0.0,1.0,D14,0.305
78179.0,12,37.81588753115987,35.496791759514984,35.93080087734625,34.456310137067405,32.653517213771465,23.0,0.0,1.0,D14,0.604
52815.0,30,29.233801798836588,28.62791338427664,28.700302700092195,26.658272087811195,24.894615176395888,24.0,0.0,1.0,D14,0.673
25718.0,21,39.20013112915782,36.005877675610016,35.068429799412115,44.84876884351268,24.78322972358374,10.0,0.0,1.0,D14,0.086
33019.0,29,36.19433945912063,44.02421788917,42.65646196376458,35.89603937642379,41.476679111882405,9.0,0.0,1.0,D14,0.758
39799.0,36,41.34328758995355,39.24773736701726,40.188324986935974,34.94229198300342,31.573594960145456,11.0,0.0,1.0,D14,0.742
18301.0,24,25.086269050677025,26.869609136675702,27.670817232098923,26.61406631039534,32.647794965129584,12.0,0.0,1.0,D14,0.556
17553.0,27,61.81643981285132,64.0243703374577,64.35413751141131,56.01110491313167,48.97801903263085,4.0,0.0,1.0,D14,0.647
44988.0,32,39.03312460604697,36.63349916016543,36.637534906828954,44.2527874527817,39.529261431252486,14.0,0.0,1.0,D14,0.119
57083.0,33,37.077219394722775,39.45343433060256,39.69836441307784,44.878844824584576,50.41135890778553,15.0,0.0,1.0,D14,0.221
44668.0,8,42.5337243060563,45.07390082908037,45.64262940167007,55.56384635519329,51.54858623069161,10.0,0.0,1.0,D14,0.154
37188.0,14,29.97021763669312,30.524453759046242,29.757167057507658,32.044097181768606,35.76461764468452,16.0,0.0,1.0,D14,0.322
27748.0,26,29.749747946786716,35.13194040791177,34.00987616356465,34.942233707299486,46.69202259572664,11.0,0.0,1.0,D14,0.454
