Area_of_Cytoplasm,Label,Mean_Of_mean_nn_distances_simulated_10,Mean_Of_mean_nn_distances_simulated_100,Mean_Of_mean_nn_distances_simulated_1000,Mean_nn_distances_measured,Mean_nn_distances_simulated,Number_of_pbodies,SiteX,SiteY,Well,p-value_measured_lower_1000_sim
52160.0,27,34.904377743053125,35.56317483853625,35.72041113169051,38.27940044897796,20.780033136764825,17.0,0.0,0.0,D12,0.315
55056.0,28,40.82791937292554,40.26234466030074,42.11552121306074,49.33412714172205,36.437272402720716,14.0,0.0,0.0,D12,0.173
94739.0,14,38.944210958197665,38.97320099762584,38.59963399155703,42.70589224335303,38.32616044938103,22.0,0.0,0.0,D12,0.204
79842.0,35,61.51106230888505,60.481552951305694,60.918801548827204,64.99540676845314,53.163903779091946,10.0,0.0,0.0,D12,0.355
51296.0,9,47.67296774485202,45.87469884334146,45.61342135728285,33.166871435050105,45.03965259625499,11.0,0.0,0.0,D12,0.914
46761.0,12,40.64391173495576,41.803481750950134,42.469384977985975,47.592488634053375,41.594239578745096,11.0,0.0,0.0,D12,0.251
37212.0,31,41.88808372047676,47.61359420318015,45.833063644746666,49.598478339307775,41.29245796211866,9.0,0.0,0.0,D12,0.351
43310.0,32,74.25665199589844,69.71335482465443,71.83006421057208,66.11532351860733,62.43537193124094,5.0,0.0,0.0,D12,0.607
46165.0,15,53.069006352064584,54.641391811358616,53.579853122125265,45.67040041221551,43.9547170781235,8.0,0.0,0.0,D12,0.73
101933.0,13,47.25749373039219,46.77567089253009,47.01549437948663,49.95479936669833,37.02164710440773,17.0,0.0,0.0,D12,0.349
58684.0,36,62.7723458707996,67.7323339584817,65.27212322139826,61.14354516588818,76.24160046395237,7.0,0.0,0.0,D12,0.607
23479.0,10,53.95765287779018,53.984004528754475,53.232965195419304,46.87587004954991,59.2719285205567,5.0,0.0,0.0,D12,0.658
32743.0,33,62.960313115382746,68.23185306225126,66.32695722331688,59.762080423255796,84.93944798483383,5.0,0.0,0.0,D12,0.634
37128.0,17,26.167168794268612,26.905205226512088,27.09524389618796,29.571534214066908,22.252664014897753,19.0,0.0,0.0,D12,0.266
66492.0,8,41.30384204846579,38.91199437417814,39.522866345890016,43.59729665870748,34.35807466329783,17.0,0.0,0.0,D12,0.268
96096.0,19,35.866518753092926,37.11679260912918,36.9123071128838,42.39241157324724,39.88210092302301,24.0,0.0,0.0,D12,0.112
46335.0,20,40.253460416668624,36.27786799004259,37.46286592885261,29.00754209767147,44.11795504169678,14.0,0.0,0.0,D12,0.905
42396.0,37,34.929990763056466,39.88261271770421,38.54424575946705,34.88770999695022,44.36655107294424,13.0,0.0,0.0,D12,0.696
79150.0,29,89.96918340315197,83.56454940259155,83.19152915119179,86.47547591048908,71.6442187227193,6.0,0.0,0.0,D12,0.43
74673.0,24,42.24629964029044,40.43593041753417,40.53018044911346,42.20516251647334,40.58835238017277,18.0,0.0,0.0,D12,0.395
44421.0,22,40.33981318249797,45.7226924239767,44.296607301666185,44.51481588068407,49.29391710529015,11.0,0.0,1.0,D12,0.497
37164.0,35,30.589833325951634,40.48686086596524,41.14671559244845,41.789195694754774,46.34258273145734,10.0,0.0,1.0,D12,0.468
42371.0,28,37.761011798979155,39.141147279990065,38.19078512665868,48.323796914207,23.568849684039005,13.0,0.0,1.0,D12,0.078
43446.0,6,43.02932539524764,42.72496626675855,42.892663741316184,39.15496963704857,45.4664281017054,11.0,0.0,1.0,D12,0.687
70945.0,19,36.606204924072536,35.78540256852889,35.551505467129054,45.17651216400624,28.519651626510818,21.0,0.0,1.0,D12,0.03
41366.0,17,39.77235098136238,39.6254560088857,39.38204000289958,31.52780854630139,26.54737276634761,12.0,0.0,1.0,D12,0.847
36746.0,13,30.05606834453571,26.82193230694486,27.53558544630036,28.2413106350478,32.81258911527025,18.0,0.0,1.0,D12,0.415
33680.0,16,41.10080096285979,41.96125741336984,42.404526030296374,47.15844871496831,48.7180821529836,10.0,0.0,1.0,D12,0.292
15748.0,25,77.16280107382403,80.93881555918482,82.12249091792005,99.38558548074543,101.25648025352761,3.0,0.0,1.0,D12,0.304
56112.0,9,39.86016334546713,39.98394547103842,39.36363136374521,42.45759540153028,34.188584590705986,15.0,0.0,1.0,D12,0.326
78179.0,12,35.04404391275304,35.36804890910383,35.93545305114142,34.456310137067405,36.47945528233934,23.0,0.0,1.0,D12,0.618
52815.0,30,27.778730012829776,28.95968045024087,28.374503241038,26.658272087811195,27.04938379972622,24.0,0.0,1.0,D12,0.668
25718.0,21,35.710328117961424,35.69301936111926,35.311538782041055,44.84876884351268,33.95220277928222,10.0,0.0,1.0,D12,0.093
33019.0,29,43.03427231171964,42.42157440674087,42.149972572253596,35.89603937642379,55.85153309038987,9.0,0.0,1.0,D12,0.732
39799.0,36,40.36636211861714,40.27500293083146,40.123739740067045,34.94229198300342,48.303409614138104,11.0,0.0,1.0,D12,0.759
18301.0,24,25.118895077247576,27.14889508304856,27.562860929194443,26.61406631039534,20.77608035349356,12.0,0.0,1.0,D12,0.58
17553.0,27,52.36742919997918,67.39633831222199,63.75658020173433,56.01110491313167,78.66076362531174,4.0,0.0,1.0,D12,0.627
44988.0,32,35.275638070843115,37.64287616786159,36.76847870700212,44.2527874527817,41.16314962653729,14.0,0.0,1.0,D12,0.114
57083.0,33,39.69431114055328,38.609636085641675,39.18517317978625,44.878844824584576,49.10425810117215,15.0,0.0,1.0,D12,0.179
44668.0,8,46.62291342121274,45.69480219178809,45.612919462481415,55.56384635519329,29.939915391047702,10.0,0.0,1.0,D12,0.143
37188.0,14,29.510914239254326,30.128306567624723,29.892176917166196,32.044097181768606,33.47777802793237,16.0,0.0,1.0,D12,0.324
27748.0,26,31.881079388287723,34.05096406382663,33.678623247359305,34.942233707299486,43.93867448456792,11.0,0.0,1.0,D12,0.441
52100.0,17,62.01382610108699,72.12215401658972,71.12672492306342,81.8069627612649,53.37186103791327,6.0,0.0,2.0,D12,0.288
32904.0,25,50.60302513687397,44.8754876739242,45.343176852929275,53.4286759207235,51.058452226072966,9.0,0.0,2.0,D12,0.197
52814.0,20,61.438316896592184,63.495291853632764,63.19300501353692,81.63418940746578,50.95140526212792,7.0,0.0,2.0,D12,0.111
55472.0,21,48.63626280087232,46.00288897054396,46.05306889127662,58.540263707605575,40.33351273282402,11.0,0.0,2.0,D12,0.072
31362.0,23,88.04594380465495,102.69790111411977,100.93504986181958,154.16909991580792,47.69615206556015,3.0,0.0,2.0,D12,0.107
40783.0,15,60.654318741527206,56.2726024443,55.19592920845066,53.988332797522716,56.36889194407176,8.0,0.0,2.0,D12,0.535
63554.0,29,40.90360857724982,41.819753487369724,41.3799559934578,53.70077716692197,37.692267440514996,15.0,0.0,2.0,D12,0.039
47724.0,26,38.81784313155999,38.1302460325702,38.80344053422191,33.16117454099568,29.698036293607633,15.0,0.0,2.0,D12,0.791
25580.0,32,36.671679290182624,37.8274385579717,39.23268546775132,37.2314200041134,32.35364397301937,9.0,0.0,2.0,D12,0.599
41957.0,12,35.44682921094725,40.50933297804355,39.876025168293765,49.84517053881535,45.17260562494865,12.0,0.0,2.0,D12,0.084
71691.0,19,62.222234216352476,59.67451836169262,57.95048643204379,50.99482763346831,73.16386879106065,10.0,0.0,2.0,D12,0.717
44216.0,11,76.86638675840759,74.17175596834889,75.37009658588723,100.21596223706771,118.7219380516345,5.0,0.0,2.0,D12,0.162
69778.0,24,37.55715860525423,35.95866030420647,34.90721091058384,34.599258262364444,43.07687516414054,21.0,0.0,2.0,D12,0.545
40193.0,18,46.92643748728382,48.06166227764635,46.81816966310723,44.40239069389648,41.05565456607039,9.0,0.0,2.0,D12,0.603
28434.0,34,78.4436522788242,71.66874951584096,73.42995834716189,43.00328933131973,71.06170930958774,4.0,0.0,2.0,D12,0.893
58566.0,9,32.7059483443299,30.535340211413796,31.00934496231945,29.44628421742861,27.254290655431202,23.0,0.0,2.0,D12,0.663
69824.0,10,31.694667312960224,32.27998206552921,32.08116421368285,33.58561277573204,29.86328790318717,24.0,0.0,2.0,D12,0.355
74857.0,22,40.35529109212783,42.11347503670901,42.07766667878608,40.65289531533646,48.163716454191025,16.0,0.0,2.0,D12,0.581
42618.0,30,85.40618057215809,90.32662018910126,90.17936256240523,86.8832445538495,83.22154468991982,4.0,0.0,2.0,D12,0.559
18101.0,12,33.76675921125637,35.87831034496441,35.87006534973023,45.391149497205234,34.68397932716953,9.0,0.0,3.0,D12,0.136
24849.0,42,46.67548740534571,45.52346195434935,47.42579950754686,47.18065731344459,50.502761422574416,6.0,0.0,3.0,D12,0.486
28485.0,53,44.27046642102703,43.94050452766268,44.2924098419738,44.86515781221688,33.59656693716345,8.0,0.0,3.0,D12,0.48
14917.0,28,26.73225491672157,24.485610354748736,25.033130389898954,26.164164120128415,27.70487537073615,13.0,0.0,3.0,D12,0.414
28577.0,49,92.999931385276,76.71884071516693,71.78750664723836,58.61447472793299,72.16999394188866,4.0,0.0,3.0,D12,0.7
48630.0,25,36.05297886160031,38.979283417955884,38.90256214083255,44.92762794631644,34.997660575184305,14.0,0.0,3.0,D12,0.196
40609.0,9,38.36376115500101,41.62756537353408,40.18798430852464,46.76505897476601,47.71147660274796,11.0,0.0,3.0,D12,0.23
46194.0,21,34.325154688376074,33.13821924228978,32.17523642849549,29.953993703727892,31.213000529867575,18.0,0.0,3.0,D12,0.682
