Area_of_Cytoplasm,Label,Mean_Of_mean_nn_distances_simulated_10,Mean_Of_mean_nn_distances_simulated_100,Mean_Of_mean_nn_distances_simulated_1000,Mean_nn_distances_measured,Mean_nn_distances_simulated,Number_of_pbodies,SiteX,SiteY,Well,p-value_measured_lower_1000_sim
52160.0,27,35.895952630603844,35.94977788379095,35.6292856526297,38.27940044897796,37.04302120305575,17.0,0.0,0.0,C16,0.324
55056.0,28,44.33532931556336,42.15796848361282,42.480236868210035,49.33412714172205,59.396913349848035,14.0,0.0,0.0,C16,0.181
94739.0,14,38.2292890884172,38.55032879185953,38.76907333695847,42.70589224335303,34.95104690904265,22.0,0.0,0.0,C16,0.223
79842.0,35,65.63761440259256,61.907941335304585,60.63084958886124,64.99540676845314,56.88074237731844,10.0,0.0,0.0,C16,0.352
51296.0,9,41.87082883026851,44.862968271397875,46.71052949775917,33.166871435050105,39.97431815885904,11.0,0.0,0.0,C16,0.928
46761.0,12,44.09213574512793,42.517410092783166,42.78303730316772,47.592488634053375,48.13023798645597,11.0,0.0,0.0,C16,0.275
37212.0,31,43.90910025080831,46.088490162221625,46.311812012174926,49.598478339307775,33.51052797690099,9.0,0.0,0.0,C16,0.376
43310.0,32,73.34999859788527,74.01483802221541,72.24133294896174,66.11532351860733,76.4030908405201,5.0,0.0,0.0,C16,0.579
46165.0,15,55.184302719279366,53.377743537856375,54.022830871892275,45.67040041221551,55.96617946414422,8.0,0.0,0.0,C16,0.73
101933.0,13,45.359931405143996,46.004390659912566,47.16662323877816,49.95479936669833,52.21247956738406,17.0,0.0,0.0,C16,0.341
58684.0,36,73.84595407291263,64.72494923708867,64.07128486481318,61.14354516588818,63.039705890191975,7.0,0.0,0.0,C16,0.574
23479.0,10,58.08820232329875,55.35684165884536,53.23160195132374,46.87587004954991,61.973530840051936,5.0,0.0,0.0,C16,0.657
32743.0,33,73.15756817119126,66.74635476013141,65.77643650942511,59.762080423255796,55.23255950079755,5.0,0.0,0.0,C16,0.606
37128.0,17,25.218220031242858,28.004203018603953,27.311790422387112,29.571534214066908,29.87616022833831,19.0,0.0,0.0,C16,0.268
66492.0,8,41.824304722573814,39.44204845542646,39.388888311075526,43.59729665870748,39.22863603684783,17.0,0.0,0.0,C16,0.257
96096.0,19,37.030753945787026,37.268289703954714,37.021106723878205,42.39241157324724,32.83178922774306,24.0,0.0,0.0,C16,0.125
46335.0,20,35.80900377952394,37.05611669349746,36.98327768397641,29.00754209767147,45.62618368294445,14.0,0.0,0.0,C16,0.894
42396.0,37,36.74414447510369,37.09844095432227,37.48469676718281,34.88770999695022,30.944797272317995,13.0,0.0,0.0,C16,0.652
79150.0,29,82.26131086513462,84.35620678883554,83.49270743886714,86.47547591048908,90.29306716525504,6.0,0.0,0.0,C16,0.443
74673.0,24,41.35564919888454,40.20645845094259,40.36383988037944,42.20516251647334,50.308338397493344,18.0,0.0,0.0,C16,0.39
44421.0,22,43.795532396672016,43.62779602159832,43.900523192959035,44.51481588068407,45.372028081482085,11.0,0.0,1.0,C16,0.476
37164.0,35,41.16390456654998,40.2390027610018,41.103551691494026,41.789195694754774,36.151827459973354,10.0,0.0,1.0,C16,0.485
42371.0,28,33.83616273380217,37.671136882627366,38.30055998261171,48.323796914207,46.308691159786804,13.0,0.0,1.0,C16,0.077
43446.0,6,39.41787413038863,42.13585262704189,42.564776243606396,39.15496963704857,49.89207648095799,11.0,0.0,1.0,C16,0.656
70945.0,19,37.37070318602855,35.711177366424835,35.3993757346336,45.17651216400624,29.373284196975412,21.0,0.0,1.0,C16,0.031
41366.0,17,41.11688746864452,39.07340295001082,39.602789341358346,31.52780854630139,48.35078470540697,12.0,0.0,1.0,C16,0.864
36746.0,13,27.084616508214037,27.70267528413863,27.69045534934557,28.2413106350478,22.593079276165625,18.0,0.0,1.0,C16,0.435
33680.0,16,40.341869176030556,43.200938543454555,41.90140829933438,47.15844871496831,43.749313281775635,10.0,0.0,1.0,C16,0.281
15748.0,25,84.7118354169904,88.49011950788761,81.49742761947441,99.38558548074543,68.96695352087252,3.0,0.0,1.0,C16,0.281
56112.0,9,35.71433682948158,39.195572420125615,39.02319145207917,42.45759540153028,32.224781852188485,15.0,0.0,1.0,C16,0.308
