Area_of_Cytoplasm,Label,Mean_Of_mean_nn_distances_simulated_10,Mean_Of_mean_nn_distances_simulated_100,Mean_Of_mean_nn_distances_simulated_1000,Mean_nn_distances_measured,Mean_nn_distances_simulated,Number_of_pbodies,Number_of_pbodies_in_Nucleus,SiteX,SiteY,Well,p-value_measured_lower_1000_sim
52160.0,27,34.59626213146139,35.86297195379919,35.418436300171415,38.27940044897796,39.721795396336816,17.0,0.0,0.0,0.0,C04,0.318
55056.0,28,41.76940283331398,44.03510738652849,44.02658281616477,47.99592134625364,38.656761840783716,13.0,1.0,0.0,0.0,C04,0.325
94739.0,14,38.808132036291966,39.9026805683283,40.06943497550364,41.03561349634507,43.128970980669585,21.0,1.0,0.0,0.0,C04,0.429
79842.0,35,63.51686878283529,62.302050831544776,61.049943024453306,64.99540676845314,76.94694963226918,10.0,0.0,0.0,0.0,C04,0.374
51296.0,9,42.28005771530537,46.21603988468418,46.25765205633424,33.166871435050105,47.796330523365825,11.0,0.0,0.0,0.0,C04,0.923
46761.0,12,44.970306191872425,44.79867815222655,44.89269430397051,47.8328880863807,59.33030729469615,10.0,1.0,0.0,0.0,C04,0.364
37212.0,31,46.66287200401107,47.83291834548195,50.38642531182218,60.38404397131118,54.474292554822114,8.0,1.0,0.0,0.0,C04,0.204
43310.0,32,69.24896493228941,68.40414328609036,71.77843953334799,66.11532351860733,32.98769018928914,5.0,0.0,0.0,0.0,C04,0.574
46165.0,15,59.65508358849563,74.13126298040183,77.3975646177626,86.09424279107647,94.48045386471158,5.0,3.0,0.0,0.0,C04,0.356
101933.0,13,49.550545369855236,48.59928047475796,48.745346626944006,49.912227101823945,56.47943795106779,16.0,1.0,0.0,0.0,C04,0.431
58684.0,36,61.224670693834085,65.30650889778799,63.774800338133936,61.14354516588818,76.83985997441376,7.0,0.0,0.0,0.0,C04,0.569
23479.0,10,63.85377570345802,50.2752384624175,53.84256938305865,46.87587004954991,31.94655806372533,5.0,0.0,0.0,0.0,C04,0.672
32743.0,33,67.55334267942116,65.71589766192935,66.00410596763523,59.762080423255796,97.22080307798839,5.0,0.0,0.0,0.0,C04,0.641
37128.0,17,31.406992138414125,31.749965498837017,31.464072055956617,32.15591582960236,25.671525158181115,15.0,4.0,0.0,0.0,C04,0.434
66492.0,8,42.014394204091204,39.96395022685677,39.97125770316091,43.59729665870748,50.63742671561969,17.0,0.0,0.0,0.0,C04,0.291
