Area_of_Cytoplasm,Label,Mean_Of_mean_nn_distances_simulated_10,Mean_Of_mean_nn_distances_simulated_100,Mean_Of_mean_nn_distances_simulated_1000,Mean_nn_distances_measured,Mean_nn_distances_simulated,Number_of_pbodies,Number_of_pbodies_in_Nucleus,SiteX,SiteY,Well,p-value_measured_lower_1000_sim
52160.0,27,35.6063445563835,36.05035646959534,35.24415559959462,38.27940044897796,34.06453552930161,17.0,0.0,0.0,0.0,D10,0.293
55056.0,28,43.74826198950867,42.48134804757391,44.555874710902934,47.99592134625364,53.71154230488329,13.0,1.0,0.0,0.0,D10,0.328
94739.0,14,41.00889757951079,40.610670728204546,39.96202852431573,41.03561349634507,33.8065728759298,21.0,1.0,0.0,0.0,D10,0.415
79842.0,35,62.16858958638592,60.51534052855336,60.30326560758532,64.99540676845314,57.482635918995335,10.0,0.0,0.0,0.0,D10,0.351
51296.0,9,45.6109353281346,46.210456106388094,46.177860333426246,33.166871435050105,18.554091888993007,11.0,0.0,0.0,0.0,D10,0.912
46761.0,12,48.828072939115735,45.35088444695611,45.87036101596167,47.8328880863807,28.3920603769191,10.0,1.0,0.0,0.0,D10,0.414
37212.0,31,48.13239264043383,50.21849679888757,50.18636348580826,60.38404397131118,37.763200731333995,8.0,1.0,0.0,0.0,D10,0.188
43310.0,32,78.23596304509411,75.98623598865144,71.83902678146939,66.11532351860733,66.48511707868144,5.0,0.0,0.0,0.0,D10,0.601
46165.0,15,81.54250441514549,74.36893744912275,76.43751749009526,86.09424279107647,71.0875834508636,5.0,3.0,0.0,0.0,D10,0.34
101933.0,13,49.92646717757785,48.554728332606544,48.89407042657106,49.912227101823945,26.980749603622446,16.0,1.0,0.0,0.0,D10,0.444
58684.0,36,62.86482831371897,61.685062170222665,65.30316092585895,61.14354516588818,114.1890469137933,7.0,0.0,0.0,0.0,D10,0.621
23479.0,10,51.466955222164906,50.96916658923695,53.93221439246847,46.87587004954991,45.34191047635397,5.0,0.0,0.0,0.0,D10,0.688
32743.0,33,65.20941952370649,65.86937886356328,66.74486392350259,59.762080423255796,71.94900046291522,5.0,0.0,0.0,0.0,D10,0.626
37128.0,17,30.468749645185955,32.76281821936611,31.54648711271033,32.15591582960236,37.25750429121363,15.0,4.0,0.0,0.0,D10,0.456
66492.0,8,42.7753978215422,38.71822519873678,39.668753283673624,43.59729665870748,43.32958190701165,17.0,0.0,0.0,0.0,D10,0.251
96096.0,19,39.002478065317966,37.65498273128563,38.11767004627011,42.681654242223594,35.096892913669464,23.0,1.0,0.0,0.0,D10,0.176
46335.0,20,39.9532487894481,40.618650480425046,41.016352561903446,33.20865548812413,40.330112570566385,12.0,2.0,0.0,0.0,D10,0.847
42396.0,37,42.569781026303204,42.91925919210681,42.06954398538214,40.55861166977304,61.13328152880324,11.0,2.0,0.0,0.0,D10,0.566
79150.0,29,80.39889382734218,85.17669265042832,82.47859278478404,86.47547591048908,117.88104630276388,6.0,0.0,0.0,0.0,D10,0.429
74673.0,24,42.68314248394496,42.943158343906404,43.56024255291559,44.664605792339486,36.71411898955144,16.0,2.0,0.0,0.0,D10,0.435
44421.0,22,54.562944206528265,51.01798646282098,50.72377778083889,47.45457850205059,77.34999843802761,9.0,2.0,0.0,1.0,D10,0.614
37164.0,35,48.599405359175066,45.4625496945486,43.80730528866922,43.96385557503779,34.54196060391227,9.0,1.0,0.0,1.0,D10,0.497
42371.0,28,38.80611824518781,41.36374593857827,40.39154093719754,46.18596539703071,45.42872069921901,12.0,1.0,0.0,1.0,D10,0.232
43446.0,6,43.96219594247298,43.55440647673189,42.20156192464407,39.15496963704857,43.37320295553717,11.0,0.0,0.0,1.0,D10,0.641
70945.0,19,37.4376581359491,36.12269061146484,36.74841462640278,45.57813486098199,30.788465870118806,20.0,1.0,0.0,1.0,D10,0.036
41366.0,17,44.07799618602679,40.19509585181617,41.80556443606457,31.029108318997565,54.645886141270815,11.0,1.0,0.0,1.0,D10,0.908
36746.0,13,33.133839649236776,33.60320408049217,33.54838495111059,27.645370663590032,28.77725094245931,13.0,5.0,0.0,1.0,D10,0.843
33680.0,16,44.53058769494022,40.45407656936371,42.00201552266988,47.15844871496831,28.162240202426506,10.0,0.0,0.0,1.0,D10,0.287
15748.0,25,69.21952379598856,84.20040663924847,82.17362190266931,99.38558548074543,48.93198972018757,3.0,0.0,0.0,1.0,D10,0.309
56112.0,9,45.96578616342405,46.77574499933383,48.029080394730485,46.798589404797575,47.165370235730805,11.0,4.0,0.0,1.0,D10,0.551
78179.0,12,46.874388250402134,44.166263435409434,44.90620615244814,39.251675656085006,47.11313657595788,16.0,7.0,0.0,1.0,D10,0.784
52815.0,30,28.324357623599326,27.989387813232238,28.569930224340446,26.658272087811195,27.538556310645458,24.0,0.0,0.0,1.0,D10,0.681
25718.0,21,36.64128102255475,34.761164703931875,35.184449660401,44.84876884351268,19.972218374747136,10.0,0.0,0.0,1.0,D10,0.08
33019.0,29,59.38705089454747,57.885612195226514,56.29765956600102,37.64249112362695,62.48631647972011,6.0,3.0,0.0,1.0,D10,0.881
39799.0,36,46.43726708482231,46.67190185563862,45.80387271160188,41.5898522406657,55.171658697292294,9.0,2.0,0.0,1.0,D10,0.644
18301.0,24,34.66261670805162,32.46540941612472,34.098836266813116,33.61462741245158,33.50865465571696,9.0,3.0,0.0,1.0,D10,0.518
17553.0,27,101.03412812818648,77.41954559052408,84.51250094879093,74.51020908314895,155.98444911713855,3.0,1.0,0.0,1.0,D10,0.609
44988.0,32,37.781030892422294,39.53700570340099,40.17320777153641,42.649842368790296,43.002590755259156,12.0,2.0,0.0,1.0,D10,0.361
57083.0,33,41.146871087132084,39.28058200465876,39.14893095594156,44.878844824584576,38.129156204022365,15.0,0.0,0.0,1.0,D10,0.198
44668.0,8,42.388497969884014,50.314345705033205,49.803969477985724,52.38775395625414,50.581345380795696,9.0,1.0,0.0,1.0,D10,0.414
37188.0,14,34.95072239324149,34.79590442128198,34.19917791636333,35.86602981931425,38.28414745028161,13.0,3.0,0.0,1.0,D10,0.404
27748.0,26,37.40809930524797,36.35298413414042,36.40791532304198,32.750509487697634,39.14518108856437,10.0,1.0,0.0,1.0,D10,0.673
52100.0,17,72.32525981687702,68.69703288270861,69.78182032365369,81.8069627612649,85.12373529634455,6.0,0.0,0.0,2.0,D10,0.255
32904.0,25,42.1571010681208,44.4163299179404,45.364463558786845,53.4286759207235,60.39307290799757,9.0,0.0,0.0,2.0,D10,0.21
52814.0,20,69.76857471072688,69.64997689232914,69.02103965791487,100.62969643429655,89.67922837177021,6.0,1.0,0.0,2.0,D10,0.044
55472.0,21,42.25736074314267,47.07001791498717,46.06034967164629,58.540263707605575,46.011254651984245,11.0,0.0,0.0,2.0,D10,0.071
31362.0,23,94.69055388689843,95.5457345569669,101.72629398297946,154.16909991580792,130.6283916177718,3.0,0.0,0.0,2.0,D10,0.117
40783.0,15,59.63915337897688,58.44450919013639,60.57414572374584,48.881605355655026,64.93411484212457,7.0,1.0,0.0,2.0,D10,0.777
63554.0,29,45.55801799186456,43.26114434766821,42.919717501022006,53.04262581202505,44.660856383515124,14.0,1.0,0.0,2.0,D10,0.09
47724.0,26,49.58996876676207,46.93045144977233,47.16814949690694,47.193321351550715,46.44896687144396,11.0,4.0,0.0,2.0,D10,0.495
25580.0,32,41.54119765158614,41.54028659612614,42.62632390338936,35.13071946157443,39.27788842685406,8.0,1.0,0.0,2.0,D10,0.766
41957.0,12,35.106042942605924,39.76675150364788,39.88216517677496,49.84517053881535,39.54210513125209,12.0,0.0,0.0,2.0,D10,0.102
