Area_of_Cytoplasm,Label,Mean_Of_mean_nn_distances_simulated_10,Mean_Of_mean_nn_distances_simulated_100,Mean_Of_mean_nn_distances_simulated_1000,Mean_nn_distances_measured,Mean_nn_distances_simulated,Number_of_pbodies,Number_of_pbodies_in_Nucleus,SiteX,SiteY,Well,p-value_measured_lower_1000_sim
52160.0,27,35.1625364563622,35.638201771588605,35.72266944195956,38.27940044897796,40.77637830831464,17.0,0.0,0.0,0.0,D07,0.328
55056.0,28,41.07617113735362,43.86476145282521,44.47327029186994,47.99592134625364,60.89768484487778,13.0,1.0,0.0,0.0,D07,0.348
94739.0,14,41.064450086715745,39.88251164441573,39.81229266397469,41.03561349634507,38.106621299753506,21.0,1.0,0.0,0.0,D07,0.422
79842.0,35,57.44685982904339,62.40128623175445,60.22661723492445,64.99540676845314,62.77842092415966,10.0,0.0,0.0,0.0,D07,0.351
51296.0,9,44.89444407591249,45.604022267938134,46.39931302283995,33.166871435050105,45.449280451879204,11.0,0.0,0.0,0.0,D07,0.943
46761.0,12,44.53450317133547,45.45560791763978,45.70603170861908,47.8328880863807,21.693226413898675,10.0,1.0,0.0,0.0,D07,0.404
37212.0,31,50.4386487820144,49.503553133629374,49.68246142343874,60.38404397131118,49.249552153909846,8.0,1.0,0.0,0.0,D07,0.174
43310.0,32,82.25381225203412,73.09105290084925,72.10468002021759,66.11532351860733,78.93792283309412,5.0,0.0,0.0,0.0,D07,0.595
46165.0,15,81.98225491185352,74.62429204394819,77.95764010799914,86.09424279107647,30.285294147505436,5.0,3.0,0.0,0.0,D07,0.374
101933.0,13,47.43252212457839,47.64948391733108,48.48197987689887,49.912227101823945,46.633847633662114,16.0,1.0,0.0,0.0,D07,0.43
58684.0,36,71.1694934470436,65.60994459408829,65.10405292645387,61.14354516588818,98.29406680155323,7.0,0.0,0.0,0.0,D07,0.592
23479.0,10,58.91724039215006,53.721535606535234,53.622220139667405,46.87587004954991,102.77166192004286,5.0,0.0,0.0,0.0,D07,0.654
32743.0,33,63.10264259374494,67.89592583651203,65.78296428386889,59.762080423255796,62.07314746370646,5.0,0.0,0.0,0.0,D07,0.616
37128.0,17,32.50292993354209,31.017473025481628,31.376332130056774,32.15591582960236,33.644184356035815,15.0,4.0,0.0,0.0,D07,0.44
66492.0,8,40.871597815387695,40.014997664043676,39.671509926234755,43.59729665870748,46.14268089272042,17.0,0.0,0.0,0.0,D07,0.263
96096.0,19,38.54316177493883,37.166665721663726,37.9681482127327,42.681654242223594,41.00994150592803,23.0,1.0,0.0,0.0,D07,0.163
46335.0,20,37.58613816255528,41.156471479097966,41.292227794018444,33.20865548812413,53.47222695460465,12.0,2.0,0.0,0.0,D07,0.862
42396.0,37,42.01523065515964,42.1594485312295,42.220482746611815,40.55861166977304,42.56543256394616,11.0,2.0,0.0,0.0,D07,0.59
79150.0,29,80.61209479526741,83.7922550582726,82.42612561948287,86.47547591048908,95.68332877951026,6.0,0.0,0.0,0.0,D07,0.436
74673.0,24,45.40067480406914,44.02137218569917,43.374502916466355,44.664605792339486,47.50793160815947,16.0,2.0,0.0,0.0,D07,0.428
44421.0,22,51.13045964645623,50.686919863991704,50.21491650304908,47.45457850205059,60.35943196750131,9.0,2.0,0.0,1.0,D07,0.593
37164.0,35,45.54931458859952,44.17380316533591,44.17653462572814,43.96385557503779,29.82416517927609,9.0,1.0,0.0,1.0,D07,0.53
42371.0,28,43.33624670455762,40.81874699952186,40.132666609927966,46.18596539703071,40.78513802245341,12.0,1.0,0.0,1.0,D07,0.227
43446.0,6,44.52073262585728,43.036706911607546,42.027186298830856,39.15496963704857,37.57298036095044,11.0,0.0,0.0,1.0,D07,0.654
70945.0,19,35.543022519449174,36.9353969595285,36.816591302823625,45.57813486098199,34.31230501758426,20.0,1.0,0.0,1.0,D07,0.032
41366.0,17,39.934161710797284,42.1311250436581,41.8362315870297,31.029108318997565,42.4502843986599,11.0,1.0,0.0,1.0,D07,0.912
36746.0,13,37.71972446676982,33.87493289132819,33.841197225531225,27.645370663590032,37.80339853156273,13.0,5.0,0.0,1.0,D07,0.852
33680.0,16,42.74270136567501,40.62909993953419,41.80270999013908,47.15844871496831,41.0963829461138,10.0,0.0,0.0,1.0,D07,0.267
15748.0,25,66.88751880542564,82.25364431750123,82.17137375163837,99.38558548074543,57.048451303304226,3.0,0.0,0.0,1.0,D07,0.291
56112.0,9,49.610266279201454,47.8479104081957,48.31279657194285,46.798589404797575,44.27733926317407,11.0,4.0,0.0,1.0,D07,0.561
78179.0,12,43.80563608407526,45.674337521794676,44.753990441868936,39.251675656085006,37.61974017119688,16.0,7.0,0.0,1.0,D07,0.781
52815.0,30,29.604598126745447,28.098478649438736,28.438777651112897,26.658272087811195,25.557972903131297,24.0,0.0,0.0,1.0,D07,0.671
25718.0,21,31.67699426915133,36.54293574828894,34.9101246556271,44.84876884351268,35.89011527351646,10.0,0.0,0.0,1.0,D07,0.087
33019.0,29,53.918106791425906,57.13830562829584,57.695052436735935,37.64249112362695,30.574726677056997,6.0,3.0,0.0,1.0,D07,0.903
39799.0,36,44.39454870035156,44.974445311548735,45.399653270519565,41.5898522406657,40.8786887039421,9.0,2.0,0.0,1.0,D07,0.652
18301.0,24,34.23789138276171,32.508188942587,33.60081865926141,33.61462741245158,24.22245130880365,9.0,3.0,0.0,1.0,D07,0.499
17553.0,27,82.43050134962174,80.33442083031542,81.42584712533406,74.51020908314895,55.10592002691178,3.0,1.0,0.0,1.0,D07,0.587
44988.0,32,40.00998277091664,40.76795186084387,40.46116081458909,42.649842368790296,35.28614448957793,12.0,2.0,0.0,1.0,D07,0.392
57083.0,33,42.79476569696421,38.5617569583536,39.444305912163806,44.878844824584576,38.822311958913524,15.0,0.0,0.0,1.0,D07,0.202
44668.0,8,49.268566224191574,47.65409940145339,49.052344127834075,52.38775395625414,43.610825456687884,9.0,1.0,0.0,1.0,D07,0.371
37188.0,14,32.83115128756017,34.72817462422993,34.37303695762156,35.86602981931425,33.86781946463448,13.0,3.0,0.0,1.0,D07,0.408
27748.0,26,42.118406354027506,37.45909700930576,36.29820255336198,32.750509487697634,45.44437874238543,10.0,1.0,0.0,1.0,D07,0.657
52100.0,17,72.0289772601092,73.03237402125362,69.14441556380714,81.8069627612649,58.697928097870495,6.0,0.0,0.0,2.0,D07,0.249
32904.0,25,46.36206493782726,45.36966059763258,45.4059374504162,53.4286759207235,31.68197388626691,9.0,0.0,0.0,2.0,D07,0.228
52814.0,20,70.98190693017828,72.16033851016364,70.26510258151932,100.62969643429655,90.40949434605018,6.0,1.0,0.0,2.0,D07,0.048
55472.0,21,44.47011502832066,46.46190866460559,46.13354855918277,58.540263707605575,41.04591085033016,11.0,0.0,0.0,2.0,D07,0.071
31362.0,23,112.02182762929453,102.08254084063083,101.76466605596272,154.16909991580792,141.65379253897072,3.0,0.0,0.0,2.0,D07,0.1
40783.0,15,63.72898166482713,62.308339292962344,61.59583626633894,48.881605355655026,69.79992603297092,7.0,1.0,0.0,2.0,D07,0.775
63554.0,29,42.039098025748544,43.20089845740764,43.53316305009911,53.04262581202505,43.544147133695,14.0,1.0,0.0,2.0,D07,0.09
47724.0,26,46.24020364203216,48.34943119157535,47.48065415324425,47.193321351550715,51.26828346304219,11.0,4.0,0.0,2.0,D07,0.521
25580.0,32,45.32882479966883,42.43229399724906,42.067843415821216,35.13071946157443,29.811471445255826,8.0,1.0,0.0,2.0,D07,0.757
41957.0,12,43.46356395253501,40.58662995342765,39.76537343945186,49.84517053881535,40.67343708208673,12.0,0.0,0.0,2.0,D07,0.095
71691.0,19,60.46335200909539,58.28430325966682,57.72793612203238,50.99482763346831,58.17081794746057,10.0,0.0,0.0,2.0,D07,0.724
44216.0,11,88.54113915428181,83.9520250415907,87.89160022883225,142.64516812520716,86.39971359340737,4.0,1.0,0.0,2.0,D07,0.046
69778.0,24,38.06266381722341,36.66835944403352,35.735046410173645,39.24298464286703,39.06670843688683,20.0,1.0,0.0,2.0,D07,0.257
40193.0,18,43.027421525805174,45.790884221587284,47.309851713849554,44.40239069389648,39.48110949117511,9.0,0.0,0.0,2.0,D07,0.595
28434.0,34,96.18894806886043,92.50686105322069,92.07173971932146,33.33541658529281,39.610912463164844,3.0,1.0,0.0,2.0,D07,0.967
58566.0,9,29.667975908694775,31.016500136205405,30.8997275278099,29.44628421742861,30.169739230631382,23.0,0.0,0.0,2.0,D07,0.637
69824.0,10,34.28678115460035,33.44301159930326,33.11350783730408,31.07883776796067,31.50328200051816,23.0,1.0,0.0,2.0,D07,0.688
74857.0,22,43.01710575702814,43.86738898749868,43.68022449624245,41.915310235629924,36.1172487675645,15.0,1.0,0.0,2.0,D07,0.599
42618.0,30,102.47931235661584,93.1302212944551,88.90536339616077,86.8832445538495,26.088159360166067,4.0,0.0,0.0,2.0,D07,0.509
18101.0,12,41.98501436502063,42.11250342057897,43.00816162638348,56.886842663598536,60.64439087541064,7.0,2.0,0.0,3.0,D07,0.133
24849.0,42,56.263497911202805,53.21466406491684,52.98038711403371,47.2253032706344,62.0671208187214,5.0,1.0,0.0,3.0,D07,0.619
28485.0,53,50.871410609053896,49.37207524319713,47.613567138477435,51.41156844967936,71.93654105267453,7.0,1.0,0.0,3.0,D07,0.389
14917.0,28,31.47798026352433,30.756685209571593,30.835213233907314,27.882813034972365,32.935470860001146,10.0,3.0,0.0,3.0,D07,0.659
28577.0,49,96.342309646553,88.72295491310165,89.50361066770142,76.77343628361372,36.88484275388753,3.0,1.0,0.0,3.0,D07,0.617
48630.0,25,37.102770721811495,38.68519058502258,39.08738579843704,44.92762794631644,38.899210460429096,14.0,0.0,0.0,3.0,D07,0.197
40609.0,9,43.20243468470663,43.73348612268612,43.51971656926275,44.086294652869285,51.69735883251734,10.0,1.0,0.0,3.0,D07,0.479
46194.0,21,30.068596193983247,32.15444369255577,32.26084293960818,29.953993703727892,29.892343431916245,18.0,0.0,0.0,3.0,D07,0.706
87096.0,17,40.474798319829304,40.70758245751581,40.90386599208418,37.2906828102012,38.54815577882466,19.0,1.0,0.0,3.0,D07,0.741
43730.0,39,34.67488265665958,34.56186785216281,33.99681518785907,34.77920034743843,42.17580340062733,16.0,2.0,0.0,3.0,D07,0.439
13881.0,41,29.0076605546501,29.171721884348763,29.773115897440665,33.34743870717234,34.0079467693134,7.0,0.0,0.0,3.0,D07,0.301
56518.0,13,45.94433235218755,50.9974257522939,49.54504496848494,36.26715521304994,45.61055763213262,11.0,1.0,0.0,3.0,D07,0.906
43544.0,32,42.9058054158874,43.83418275012857,43.193126491589005,53.73719787500824,47.75468158544068,11.0,0.0,0.0,3.0,D07,0.114
41741.0,8,103.07567015686236,113.33894034296374,109.6522361611118,134.1396243521082,76.25853809152107,3.0,0.0,0.0,3.0,D07,0.29
45114.0,36,52.679023251393645,45.63251760590349,45.11818243149706,38.356234329851375,28.05254258675667,10.0,1.0,0.0,3.0,D07,0.786
32792.0,54,109.02092856769968,92.39171973538207,94.76364982423594,58.33515070729815,62.07976095951212,3.0,4.0,0.0,3.0,D07,0.849
51758.0,48,87.98138611502183,77.5788284870573,78.3040929603921,81.23076805008371,79.62170316780853,5.0,0.0,0.0,3.0,D07,0.451
35409.0,56,36.351356825728736,42.428697837507926,42.02452412480249,42.1322623596991,47.652691332401325,10.0,0.0,0.0,3.0,D07,0.479
31824.0,33,32.87060755839075,32.555971808133066,31.59013513051871,27.309184773348893,29.88096560667866,14.0,7.0,0.0,3.0,D07,0.767
38980.0,30,40.29213722456608,38.2215893611341,38.2334756860171,36.5845212649616,39.15724126600899,12.0,0.0,0.0,3.0,D07,0.626
52242.0,51,44.782210524922064,45.15781860767486,45.98475640566586,55.82442273195554,33.65919173927111,11.0,0.0,0.0,3.0,D07,0.124
50951.0,26,28.705985038074544,27.958416351528836,27.853457854314968,29.704196176354056,34.62201892292051,25.0,4.0,0.0,3.0,D07,0.308
43066.0,27,40.264915964797055,40.444504804737214,40.78974802588375,45.73193617846483,41.21372101284812,12.0,1.0,0.0,3.0,D07,0.235
47402.0,40,44.39428825470145,44.804082948586,43.98134018143819,40.30819551489378,49.74510610368148,12.0,0.0,0.0,3.0,D07,0.68
27818.0,47,42.03351191003602,40.524942301523204,41.24922427676949,41.252195883121836,59.5474459694282,8.0,0.0,0.0,3.0,D07,0.518
28620.0,11,40.01045081356781,36.740960559083824,35.137856982967946,33.69988289159189,38.028321198538585,12.0,1.0,0.0,3.0,D07,0.565
40213.0,35,49.81146168321418,48.27960999011563,46.8671750775043,57.87699417867033,32.899125279431686,9.0,0.0,0.0,3.0,D07,0.133
53955.0,23,46.82316680064076,49.36603498453362,47.372541337131544,51.52941174493508,41.839587873208025,11.0,2.0,0.0,3.0,D07,0.329
30240.0,19,38.9023304963726,38.54852817791809,38.85718008201562,37.50582432958395,31.533079929681584,10.0,4.0,0.0,3.0,D07,0.552
37732.0,43,48.89945013644167,48.12085134322031,48.388982762830636,60.96708065546274,47.49355444759496,9.0,0.0,0.0,3.0,D07,0.133
38855.0,22,33.547846321444,37.06243123782173,36.904633571257186,35.76311345023334,47.056852521063824,13.0,0.0,0.0,3.0,D07,0.565
47656.0,16,44.48585325782365,41.790545043338334,42.41180405562221,40.53948385842853,50.26562512534006,12.0,0.0,0.0,3.0,D07,0.59
30941.0,14,37.2043003073951,38.200041515143916,39.05795260332557,43.51088981396079,38.385153684300334,10.0,0.0,0.0,3.0,D07,0.272
28038.0,52,51.97024618614669,47.58278893537128,49.06151001881589,40.137464777227436,63.41215831428276,7.0,0.0,0.0,3.0,D07,0.741
18976.0,37,44.023265762061456,47.80498735851861,46.552701599621926,58.95287643472383,48.39535160937218,7.0,1.0,0.0,3.0,D07,0.186
40574.0,15,46.484148179857364,41.75496904159932,41.634895368776384,47.591829049760626,41.731903500585354,11.0,2.0,0.0,3.0,D07,0.246
21644.0,54,51.68464489389656,48.32233754001323,50.28018879531282,51.14710944187292,35.4201001499513,6.0,0.0,0.0,4.0,D07,0.467
18921.0,17,55.784013860855495,50.210041754686046,51.43188848958008,31.035558672203905,70.83212783328655,6.0,1.0,0.0,4.0,D07,0.906
47962.0,9,37.12810837181532,35.56651706478091,35.76116850646572,31.358722450811836,34.35485568770875,15.0,0.0,0.0,4.0,D07,0.763
24907.0,13,56.98945064975551,60.26158859928992,58.39021939430646,47.52884486463908,55.28785545916319,5.0,4.0,0.0,4.0,D07,0.75
53157.0,16,36.13462818121165,39.34831046853481,39.94766983630831,42.896868046001735,49.72138423825454,14.0,1.0,0.0,4.0,D07,0.333
41444.0,38,45.58977847555964,42.6427902530146,41.65460750102867,46.63940270373343,48.36998117470611,11.0,0.0,0.0,4.0,D07,0.283
16264.0,43,34.18630864001442,32.84795761372218,32.50779601632044,36.679059557829255,33.489697204206415,9.0,9.0,0.0,4.0,D07,0.285
59033.0,30,36.252132927357785,37.245939416280805,37.624074817232845,36.07769598721514,44.460069069632894,16.0,0.0,0.0,4.0,D07,0.603
46870.0,60,103.80787703086257,104.44004410869333,105.22460386800452,89.716402335967,80.23510541472298,3.0,0.0,0.0,4.0,D07,0.629
53863.0,32,26.287123301944643,28.253722818391676,27.796682590737888,31.416651354752403,38.053220135609315,26.0,0.0,0.0,4.0,D07,0.154
31681.0,28,65.14376009467199,65.33584656397811,63.35715945355965,80.08236455164199,69.74546853230542,5.0,2.0,0.0,4.0,D07,0.195
51029.0,39,35.62056633597162,36.697883485723864,36.695069773400405,40.121276834504386,39.16334307773242,16.0,1.0,0.0,4.0,D07,0.289
22922.0,41,34.99289431501181,37.44507790585599,37.56103542041146,44.085700172655415,43.71467226021912,9.0,2.0,0.0,4.0,D07,0.247
31116.0,25,40.63175819453655,44.256733237322244,44.16167803454974,52.879945189881546,25.904478060990172,8.0,0.0,0.0,4.0,D07,0.214
45162.0,58,89.7639691776961,88.32082907263657,89.55883461416906,65.27381708055837,109.66507506811314,4.0,0.0,0.0,4.0,D07,0.786
46056.0,49,43.49421449625762,47.41484572311606,46.879063219212895,60.58572254593212,38.58864669006552,11.0,3.0,0.0,4.0,D07,0.097
64213.0,44,47.20179310795937,54.44320529926195,54.394032287930315,42.84701356147387,64.40683508222016,10.0,0.0,0.0,4.0,D07,0.852
25587.0,12,42.34388735978934,45.32006290455137,44.4125043211271,55.47368833593316,45.316597098065095,7.0,2.0,0.0,4.0,D07,0.165
64243.0,22,33.79570253762397,35.515883021781434,36.305649099073726,34.08125318208206,35.67131595892625,19.0,1.0,0.0,4.0,D07,0.682
24389.0,15,57.10355375597692,52.98459502188566,51.92032523888935,32.90449590323887,56.08556247011035,6.0,0.0,0.0,4.0,D07,0.901
31143.0,45,37.23232581251051,38.99931623087194,38.4526908216756,48.37750923686599,52.87788292126249,9.0,2.0,0.0,4.0,D07,0.117
24639.0,51,90.29097511209304,90.28623146292438,94.03025084244162,108.85580462885987,108.11649153815553,3.0,1.0,0.0,4.0,D07,0.365
