Area_of_Cytoplasm,Label,Mean_Of_mean_nn_distances_simulated_10,Mean_Of_mean_nn_distances_simulated_100,Mean_Of_mean_nn_distances_simulated_1000,Mean_nn_distances_measured,Mean_nn_distances_simulated,Number_of_pbodies,Number_of_pbodies_in_Nucleus,SiteX,SiteY,Well,p-value_measured_lower_1000_sim
52160.0,27,36.22995815324817,36.60425085937093,35.66666456809726,38.27940044897796,40.68286102783483,17.0,0.0,0.0,0.0,F06,0.304
55056.0,28,43.72699297292361,44.884930478782834,44.096420814891594,47.99592134625364,54.06480967354317,13.0,1.0,0.0,0.0,F06,0.322
94739.0,14,37.95759327341106,39.87676579238537,39.8127784950927,41.03561349634507,44.323552384411684,21.0,1.0,0.0,0.0,F06,0.414
79842.0,35,54.48804437709769,57.790672334975355,60.479167640519634,64.99540676845314,44.48931944124957,10.0,0.0,0.0,0.0,F06,0.359
51296.0,9,43.518738872461356,46.18618443603941,46.01541918511035,33.166871435050105,37.17933369633922,11.0,0.0,0.0,0.0,F06,0.909
46761.0,12,48.11693498913619,45.52624935512018,45.039986381511525,47.8328880863807,59.64129250458484,10.0,1.0,0.0,0.0,F06,0.385
37212.0,31,47.029120751279635,48.87296922804044,49.87062370941902,60.38404397131118,52.66805038838585,8.0,1.0,0.0,0.0,F06,0.196
43310.0,32,77.26617605137187,75.40672686990608,72.79681481731338,66.11532351860733,38.906400762503985,5.0,0.0,0.0,0.0,F06,0.604
46165.0,15,90.14434912643526,75.59129470974858,76.12619994477522,86.09424279107647,106.70578943678981,5.0,3.0,0.0,0.0,F06,0.346
101933.0,13,45.84566344697087,48.78495056020463,48.918502332267174,49.912227101823945,47.03633694891049,16.0,1.0,0.0,0.0,F06,0.436
58684.0,36,59.20477830590575,61.536931596577425,64.40115888052495,61.14354516588818,39.78596939619646,7.0,0.0,0.0,0.0,F06,0.595
23479.0,10,45.84155734165149,52.828642740978694,54.096203496112025,46.87587004954991,69.91079739988142,5.0,0.0,0.0,0.0,F06,0.672
32743.0,33,56.578620764270305,66.0058100739375,66.58971586500924,59.762080423255796,70.18732425945973,5.0,0.0,0.0,0.0,F06,0.629
37128.0,17,31.409379130284783,32.299274762779106,31.58516159636349,32.15591582960236,31.019472238515878,15.0,4.0,0.0,0.0,F06,0.453
66492.0,8,39.10245646136005,40.13098974029878,39.753358969589456,43.59729665870748,36.89346789442537,17.0,0.0,0.0,0.0,F06,0.289
96096.0,19,40.97123267423294,36.76718418587476,37.91723766409257,42.681654242223594,37.50727077935155,23.0,1.0,0.0,0.0,F06,0.146
46335.0,20,41.58524949122802,41.534165724430295,41.093595016340245,33.20865548812413,31.41023274123073,12.0,2.0,0.0,0.0,F06,0.835
42396.0,37,42.680764231011736,42.133432216224335,42.26312890553422,40.55861166977304,45.60189979972093,11.0,2.0,0.0,0.0,F06,0.567
79150.0,29,77.94782501549645,84.45198047043213,81.76910076972545,86.47547591048908,64.2748944271125,6.0,0.0,0.0,0.0,F06,0.415
74673.0,24,40.26046915889905,42.98698346459225,43.29125371329828,44.664605792339486,44.22010080989611,16.0,2.0,0.0,0.0,F06,0.415
44421.0,22,52.48371104330128,50.420112425506396,50.45592956486045,47.45457850205059,70.26807981571224,9.0,2.0,0.0,1.0,F06,0.609
37164.0,35,47.490512297799604,43.301483506246214,44.42581738346907,43.96385557503779,57.359060870350696,9.0,1.0,0.0,1.0,F06,0.532
