Area_of_Cytoplasm,Label,Mean_Of_mean_nn_distances_simulated_10,Mean_Of_mean_nn_distances_simulated_100,Mean_Of_mean_nn_distances_simulated_1000,Mean_nn_distances_measured,Mean_nn_distances_simulated,Number_of_pbodies,Number_of_pbodies_in_Nucleus,SiteX,SiteY,Well,p-value_measured_lower_1000_sim
52160.0,27,34.91611362409237,35.787243768070205,35.17919820322375,38.27940044897796,50.8541646762292,17.0,0.0,0.0,0.0,C11,0.299
55056.0,28,45.074221530218814,41.72814074559532,44.16566940710919,47.99592134625364,44.71066310009209,13.0,1.0,0.0,0.0,C11,0.333
94739.0,14,40.601881480740964,39.865622313602046,39.78220127819456,41.03561349634507,45.61972269577276,21.0,1.0,0.0,0.0,C11,0.423
79842.0,35,51.84099239270233,59.59520116022268,60.96889913196539,64.99540676845314,43.568570309232214,10.0,0.0,0.0,0.0,C11,0.375
51296.0,9,42.600474737191824,47.78479931568223,46.110238019325976,33.166871435050105,48.24443702923117,11.0,0.0,0.0,0.0,C11,0.924
46761.0,12,45.717318183383234,45.51612518921148,45.14704519637782,47.8328880863807,36.25943819614084,10.0,1.0,0.0,0.0,C11,0.39
37212.0,31,53.28334101230246,50.51115147617578,49.91998850557482,60.38404397131118,32.29446699353235,8.0,1.0,0.0,0.0,C11,0.199
43310.0,32,83.38165158643281,74.47716538037076,73.61405880063397,66.11532351860733,61.06136182000563,5.0,0.0,0.0,0.0,C11,0.628
46165.0,15,77.06859374214345,77.28925625118222,77.13296021020058,86.09424279107647,46.650057213190514,5.0,3.0,0.0,0.0,C11,0.358
101933.0,13,48.437610824424915,48.21149216485137,48.695155049162146,49.912227101823945,47.3509842665283,16.0,1.0,0.0,0.0,C11,0.435
58684.0,36,64.09698665802063,62.263548545007254,63.95807944452336,61.14354516588818,79.64307339703912,7.0,0.0,0.0,0.0,C11,0.568
23479.0,10,48.62582286409362,52.73697171485138,53.944627679063515,46.87587004954991,24.983206800427794,5.0,0.0,0.0,0.0,C11,0.685
32743.0,33,76.40071553034716,64.70423009183538,66.32041227086077,59.762080423255796,55.33208897651631,5.0,0.0,0.0,0.0,C11,0.63
37128.0,17,31.87428700389149,31.38970064788701,31.78654205945453,32.15591582960236,30.35670800840454,15.0,4.0,0.0,0.0,C11,0.465
66492.0,8,40.65377810225867,38.854981009217155,39.56806625524273,43.59729665870748,35.73445675993903,17.0,0.0,0.0,0.0,C11,0.274
96096.0,19,37.40161138332554,37.35923763578869,37.98093286831438,42.681654242223594,33.709311528630046,23.0,1.0,0.0,0.0,C11,0.163
46335.0,20,38.164426304653595,40.89467324358387,40.68770699422118,33.20865548812413,44.8584942842753,12.0,2.0,0.0,0.0,C11,0.823
42396.0,37,43.6502485171629,43.41003564356441,42.3267210273988,40.55861166977304,43.07003660523025,11.0,2.0,0.0,0.0,C11,0.586
79150.0,29,78.28132574756722,78.44854642773652,81.78512796569683,86.47547591048908,81.37937505660301,6.0,0.0,0.0,0.0,C11,0.407
74673.0,24,44.42078620695556,43.124099423390845,43.22006410955292,44.664605792339486,29.891449802032607,16.0,2.0,0.0,0.0,C11,0.433
